log_ts,departure_time,route_id,trip_id,vehicle_id,vehicle_timestamp,brigade,type,vehicle_trip_id,vehicle_trip_headsign,departure_time_live,stopSequence_live,stop_live,delay,positionData
2022-11-30 14:35:00,54120,504,RA221129/504/TP-DWC/DP/14.21__,3/8316,1669818877000.0,6.0,3.0,RA221129/504/TP-MKA/DP/15.21__,Os. Kabaty,54120.0,1.0,Dw. Centralny 02,12.4,"{'time': 55333.364715332886, 'stopID': '700202', 'stopName': 'Dw. Centralny 02', 'type': 'nextStop', 'stopIdx': 1, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.40758175184938206, 'delay': 744}"
2022-11-30 14:35:00,53940,158,RA221129/158/TX-OST/DP/14.45__,3/5900,1669818876000.0,6.0,3.0,RA221129/158/TX-OST/DP/14.45__,Witolin,54216.0,24.0,Zamieniecka 04,4.6,"{'time': 55800, 'stopID': '210204', 'stopName': 'Zamieniecka 04', 'stopIdx': 24, 'searchedStopIdx': 8, 'type': 'actualStop', 'delay': 276}"
2022-11-30 14:35:00,54660,157,RA221129/157/TP-GWI/DP/14.57__,3/9447,1669818873000.0,2.0,3.0,RA221129/157/TP-GWI/DP/14.57__,Gwiaździsta,54906.0,21.0,Dw. Gdański 02,4.1,"{'time': 55827.51929148176, 'stopID': '701902', 'stopName': 'Dw. Gdański 02', 'type': 'nextStop', 'stopIdx': 21, 'searchedStopIdx': 7, 'normalizedPercentBetweenStops': 0.229327429014683, 'delay': 246}"
2022-11-30 14:35:00,54420,127,RA221129/127/TP-BRO/DP/14.41__,3/5964,1669818877000.0,7.0,3.0,RA221129/127/TP-BRO/DP/14.41__,Browarna,54953.0,27.0,Metro Centrum Nauki Kopernik 05,8.883333333333333,"{'time': 55544.368579589136, 'stopID': '707905', 'stopName': 'Metro Centrum Nauki Kopernik 05', 'type': 'nextStop', 'stopIdx': 27, 'searchedStopIdx': 17, 'normalizedPercentBetweenStops': 0.8697381632427941, 'delay': 533}"
2022-11-30 14:36:00,53880,517,RA221129/517/TP-CEN/DP/14.19__,3/5249,1669818936000.0,9.0,3.0,RA221129/517/TP-URN/DP/15.14__,Ursus - Niedźwiadek,53880.0,5.0,Hala Kopińska 02,9.266666666666667,"{'time': 55580.65003148858, 'stopID': '411602', 'stopName': 'Hala Kopińska 02', 'type': 'nextStop', 'stopIdx': 5, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.7813890638254181, 'delay': 556}"
2022-11-30 14:36:00,54120,504,RA221129/504/TP-DWC/DP/14.21__,3/8316,1669818943000.0,6.0,3.0,RA221129/504/TP-MKA/DP/15.21__,Os. Kabaty,54120.0,1.0,Dw. Centralny 02,13.216666666666667,"{'time': 55350.57997410983, 'stopID': '700202', 'stopName': 'Dw. Centralny 02', 'type': 'nextStop', 'stopIdx': 1, 'searchedStopIdx': -1, 'normalizedPercentBetweenStops': 0.5032220783879441, 'delay': 793}"
2022-11-30 14:36:00,53940,158,RA221129/158/TX-OST/DP/14.45__,3/5900,1669818946000.0,6.0,3.0,RA221129/158/TX-OST/DP/14.45__,Witolin,54226.0,25.0,Łukowska 04,4.766666666666667,"{'time': 55860, 'stopID': '210704', 'stopName': 'Łukowska 04', 'stopIdx': 25, 'searchedStopIdx': 8, 'type': 'actualStop', 'delay': 286}"
2022-11-30 14:36:00,54660,157,RA221129/157/TP-GWI/DP/14.57__,3/9447,1669818945000.0,2.0,3.0,RA221129/157/TP-GWI/DP/14.57__,Gwiaździsta,54848.0,22.0,Gen. Zajączka 02,3.1333333333333333,"{'time': 55957.24133708996, 'stopID': '600102', 'stopName': 'Gen. Zajączka 02', 'type': 'nextStop', 'stopIdx': 22, 'searchedStopIdx': 7, 'normalizedPercentBetweenStops': 0.310344475749662, 'delay': 188}"
2022-11-30 14:36:00,54420,127,RA221129/127/TP-BRO/DP/14.41__,3/5964,1669818943000.0,7.0,3.0,RA221129/127/TP-BRO/DP/14.41__,Browarna,54935.0,28.0,Metro Centrum Nauki Kopernik 04,8.583333333333334,"{'time': 55628.04570298397, 'stopID': '707904', 'stopName': 'Metro Centrum Nauki Kopernik 04', 'type': 'nextStop', 'stopIdx': 28, 'searchedStopIdx': 17, 'normalizedPercentBetweenStops': 0.5670475248663931, 'delay': 515}"
2022-11-30 14:36:00,54960,521,RA221129/521/TP-FAL-S/DP/15.01,3/9853,1669818944000.0,6.0,3.0,RA221129/521/TP-FAL-S/DP/15.01,Falenica,55411.0,10.0,Rondo Waszyngtona 02,7.516666666666667,"{'time': 55693.12669052253, 'stopID': '213102', 'stopName': 'Rondo Waszyngtona 02', 'type': 'nextStop', 'stopIdx': 10, 'searchedStopIdx': 6, 'normalizedPercentBetweenStops': 0.5546945438438771, 'delay': 451}"
