Miasto,Dzielnica,Powierzchnia,Pokoje,Cena,Cena_m2
Kraków,Stare Miasto,87.0,3.0,3900.0,44.83
Szczecin,Śródmieście,30.3,1.0,1500.0,49.5
Wrocław,Plac Grunwaldzki,17.0,1.0,1400.0,82.35
Kraków,Łobzów,37.0,2.0,1200.0,32.43
Wrocław,Krzyki,49.0,2.0,2300.0,46.94
Kraków,Os. Podwawelskie,52.0,2.0,2100.0,40.38
Szczecin,Słoneczne,48.5,2.0,1700.0,35.05
Warszawa,Mokotów,36.0,2.0,2500.0,69.44
dolnośląskie,Wrocław,45.0,2.0,2000.0,44.44
Kraków,Łobzów,39.0,2.0,2000.0,51.28
Kraków,Stare Miasto,57.0,2.0,2800.0,49.12
Warszawa,Mokotów,70.0,3.0,3000.0,42.86
Warszawa,Wola,49.0,2.0,3700.0,75.51
Warszawa,Wola,74.5,4.0,5000.0,67.11
Kraków,Grzegórzki,30.0,1.0,1300.0,43.33
Łódź,Śródmieście,28.0,1.0,1500.0,53.57
Warszawa,Śródmieście,112.06,4.0,5300.0,47.3
Wrocław,Stare Miasto,25.0,1.0,2100.0,84.0
Warszawa,Szczęśliwice,63.5,3.0,3600.0,56.69
Kraków,Podgórze,50.0,2.0,2600.0,52.0
Kraków,Krowodrza,51.46,3.0,2000.0,38.87
Warszawa,Białołęka,54.0,2.0,2800.0,51.85
Wrocław,Krzyki,83.87,4.0,6700.0,79.89
Łódź,Bałuty,37.0,2.0,1800.0,48.65
Wrocław,Stare Miasto,75.0,3.0,3000.0,40.0
Kraków,Podgórze,47.0,2.0,1999.0,42.53
Wrocław,Plac Grunwaldzki,54.0,3.0,2300.0,42.59
Warszawa,Chomiczówka,56.0,2.0,2500.0,44.64
Warszawa,Czyste,62.0,3.0,4499.0,72.56
Kraków,Stare Miasto,22.0,1.0,1550.0,70.45
Kraków,Stare Miasto,46.0,2.0,2000.0,43.48
dolnośląskie,Wrocław,27.0,1.0,1400.0,51.85
Kraków,Stare Miasto,45.0,2.0,2000.0,44.44
Kraków,Stare Miasto,20.0,1.0,1500.0,75.0
Warszawa,Ochota,70.0,3.0,3600.0,51.43
Warszawa,Czyste,76.0,4.0,5600.0,73.68
Kraków,Podgórze,31.0,1.0,2000.0,64.52
małopolskie,Kraków,38.0,2.0,2100.0,55.26
Kraków,Prądnik Czerwony,37.0,2.0,1650.0,44.59
dolnośląskie,Wrocław,30.0,1.0,1750.0,58.33
małopolskie,Kraków,48.0,2.0,2700.0,56.25
Łódź,Chojny-Dąbrowa,36.0,2.0,1400.0,38.89
Warszawa,Bemowo,61.62,3.0,2150.0,34.89
Warszawa,Wawer,150.0,3.0,4500.0,30.0
Warszawa,Powiśle,71.0,3.0,4400.0,61.97
Warszawa,Śródmieście,103.0,3.0,5200.0,50.49
Kraków,Podgórze Stare,30.0,1.0,1000.0,33.33
Szczecin,Stare Miasto,41.97,2.0,2300.0,54.8
Kraków,Dębniki,60.3,2.0,2300.0,38.14
Kraków,Os. Ruczaj,40.0,2.0,1500.0,37.5
Warszawa,Szczęśliwice,59.0,3.0,2800.0,47.46
Warszawa,Nowe Miasto,95.7,3.0,6500.0,67.92
Warszawa,Żoliborz,262.0,4.0,24000.0,91.6
brak,,35.0,2.0,2200.0,62.86
Warszawa,Śródmieście,50.0,2.0,3500.0,70.0
dolnośląskie,Wrocław,40.0,2.0,1950.0,48.75
Warszawa,Białołęka,50.0,2.0,1600.0,32.0
Wrocław,Stare Miasto,41.69,2.0,1700.0,40.78
Warszawa,Wawrzyszew,35.0,1.0,1800.0,51.43
Kraków,Stare Miasto,68.0,3.0,2700.0,39.71
Gdańsk,Śródmieście,60.0,2.0,2500.0,41.67
Kraków,Bronowice Małe,45.0,2.0,1500.0,33.33
Poznań,Maltańskie,64.0,3.0,2200.0,34.37
Kraków,Podgórze,75.0,3.0,2700.0,36.0
Warszawa,Targówek,55.0,2.0,2150.0,39.09
Warszawa,Wola,28.0,2.0,2400.0,85.71
Kraków,Stare Miasto,41.0,2.0,2200.0,53.66
Wrocław,Szczepin,47.0,2.0,1900.0,40.43
Warszawa,Wola,53.0,2.0,4900.0,92.45
Wrocław,Krzyki,41.0,2.0,2100.0,51.22
Kraków,Ludwinów,112.0,3.0,5900.0,52.68
Warszawa,Kabaty,40.0,1.0,1950.0,48.75
Kraków,Prądnik Biały,39.0,2.0,1450.0,37.18
Gdańsk,Brzeźno,40.0,2.0,1750.0,43.75
Kraków,Piasek,31.0,1.0,1700.0,54.84
Warszawa,Grochów,49.61,2.0,2800.0,56.44
Wrocław,Kowale,420.0,4.0,5000.0,11.9
Kraków,Olsza,55.0,2.0,1400.0,25.45
małopolskie,Kraków,42.0,2.0,3100.0,73.81
Poznań,Jeżyce,35.0,1.0,1600.0,45.71
Kraków,Kazimierz,55.0,3.0,3000.0,54.55
Szczecin,Podjuchy,37.0,2.0,1900.0,51.35
Warszawa,Wola,43.0,2.0,3500.0,81.4
Warszawa,Wilanów,38.0,2.0,2300.0,60.53
Gdańsk,Żabianka-Wejhera-Jelitkowo-Tysiąclecia,42.0,2.0,1900.0,45.24
Wrocław,Popowice,64.0,3.0,1800.0,28.13
Wrocław,Psie Pole,53.0,2.0,2000.0,37.74
Kraków,Stare Miasto,114.0,3.0,8000.0,70.18
Warszawa,Śródmieście,134.0,3.0,7900.0,58.96
Wrocław,Plac Grunwaldzki,29.0,1.0,1400.0,48.28
Kraków,Os. Europejskie,33.0,1.0,1150.0,34.85
Warszawa,Wilanów,179.0,4.0,12500.0,69.83
Warszawa,Sady Żoliborskie,68.0,3.0,3500.0,51.47
Kraków,Krowodrza,67.0,3.0,2500.0,37.31
małopolskie,Kraków,91.0,3.0,4950.0,54.4
mazowieckie,Warszawa,50.0,2.0,2300.0,46.0
Kraków,Stare Miasto,35.0,2.0,2000.0,57.14
Warszawa,Mokotów,200.0,3.0,10000.0,50.0
Warszawa,Okęcie,56.0,2.0,3200.0,57.14
Warszawa,Mirów,42.0,2.0,2550.0,60.71
