Miasto,Dzielnica,Powierzchnia,Pokoje,Cena,Cena_m2
Poznań,Podolany,73.0,,2750.0,37.67
Warszawa,Mokotów,63.0,3.0,3500.0,55.56
Warszawa,Żoliborz,40.0,1.0,1950.0,48.75
Warszawa,Praga-Północ,39.4,2.0,2400.0,60.91
Kraków,Stare Miasto,80.2,3.0,5000.0,62.34
Łódź,Śródmieście,98.0,2.0,3400.0,34.69
Kraków,Krowodrza,54.0,2.0,1600.0,29.63
Kraków,Stare Miasto,30.0,2.0,2150.0,71.67
Szczecin,Centrum,34.7,2.0,1850.0,53.31
Kraków,Podgórze,71.0,1.0,2300.0,32.39
Łódź,Śródmieście,47.0,2.0,1350.0,28.72
Warszawa,Praga-Południe,55.0,3.0,4000.0,72.73
Szczecin,Stare Miasto,50.0,2.0,3000.0,60.0
Kraków,Prądnik Biały,42.0,2.0,1400.0,33.33
Kraków,Stare Miasto,57.0,3.0,2000.0,35.09
Warszawa,Mokotów,70.0,2.0,6000.0,85.71
Warszawa,Ochota,86.5,4.0,5000.0,57.8
Kraków,Krowodrza,40.0,2.0,1700.0,42.5
Warszawa,Mokotów,84.0,3.0,3600.0,42.86
Warszawa,Mokotów,112.0,4.0,6900.0,61.61
Kraków,Czyżyny,43.0,2.0,2000.0,46.51
Gdańsk,Stare Miasto,58.0,3.0,2600.0,44.83
Warszawa,Saska Kępa,51.0,3.0,2400.0,47.06
Warszawa,Praga-Północ,56.0,2.0,3500.0,62.5
Kraków,Stare Miasto,140.0,3.0,15000.0,107.14
Kraków,Os. Tysiąclecia,34.55,2.0,1500.0,43.42
Kraków,Grzegórzki,29.0,1.0,1900.0,65.52
Warszawa,Młynów,76.4,3.0,4000.0,52.36
Warszawa,Praga-Północ,37.0,1.0,2000.0,54.05
Poznań,Grunwald,33.0,1.0,1250.0,37.88
małopolskie,Kraków,40.0,2.0,2100.0,52.5
Warszawa,Wyględów,120.0,4.0,10000.0,83.33
Warszawa,Śródmieście,33.67,2.0,1690.0,50.19
Szczecin,Centrum,48.0,2.0,2000.0,41.67
Warszawa,Służewiec,51.0,2.0,2690.0,52.75
Kraków,Zabłocie,110.0,3.0,13000.0,118.18
Kraków,Prądnik Biały,40.0,2.0,2000.0,50.0
Kraków,Kazimierz,45.0,2.0,1900.0,42.22
Warszawa,Śródmieście,35.0,2.0,2000.0,57.14
Kraków,Krowodrza,50.0,2.0,2000.0,40.0
Kraków,Stare Miasto,55.0,2.0,3500.0,63.64
Gdańsk,Siedlce,41.0,2.0,2300.0,56.1
Warszawa,Bemowo,49.0,2.0,2300.0,46.94
Warszawa,Mokotów,60.0,3.0,3500.0,58.33
Kraków,Stare Miasto,123.06,4.0,8561.0,69.57
Warszawa,Ursynów,31.52,2.0,2200.0,69.8
Kraków,Wola Justowska,55.0,2.0,1800.0,32.73
Warszawa,Stara Praga,26.0,1.0,3600.0,138.46
Wrocław,Ołtaszyn,45.0,2.0,1400.0,31.11
Warszawa,Służew,53.0,2.0,2300.0,43.4
Kraków,Os. Ruczaj,48.0,2.0,1400.0,29.17
Gdańsk,Przymorze,40.0,2.0,2300.0,57.5
Warszawa,Wola,51.0,2.0,4200.0,82.35
małopolskie,Kraków,75.0,3.0,3500.0,46.67
Kraków,Os. Ruczaj,49.0,2.0,2450.0,50.0
Kraków,Krowodrza,59.0,2.0,1750.0,29.66
Gdańsk,Oliwa,73.0,3.0,2800.0,38.36
Warszawa,Ursynów,61.8,3.0,2800.0,45.31
Warszawa,Śródmieście,60.0,2.0,2990.0,49.83
Warszawa,Stary Imielin,49.0,2.0,1900.0,38.78
Warszawa,Wilanów,151.0,5.0,8500.0,56.29
Szczecin,Pogodno,33.7,2.0,1500.0,44.51
Warszawa,Mokotów,50.0,2.0,2700.0,54.0
pomorskie,Gdańsk,65.0,3.0,2300.0,35.38
Kraków,Stare Miasto,36.0,1.0,1600.0,44.44
Warszawa,Śródmieście,105.0,4.0,6000.0,57.14
Kraków,Stare Miasto,55.0,2.0,2300.0,41.82
Gdańsk,Wrzeszcz,40.0,2.0,2100.0,52.5
małopolskie,Kraków,100.0,4.0,3500.0,35.0
Warszawa,Śródmieście Południowe,70.0,2.0,5800.0,82.86
Warszawa,Śródmieście,53.0,2.0,3500.0,66.04
Wrocław,Ołbin,63.0,3.0,2000.0,31.75
Kraków,Kazimierz,96.0,3.0,7500.0,78.13
Warszawa,Nowolipki,54.0,2.0,2600.0,48.15
Warszawa,Powiśle,136.0,4.0,8500.0,62.5
Kraków,Grzegórzki,50.0,2.0,2000.0,40.0
Kraków,Krowodrza,51.0,2.0,2250.0,44.12
Kraków,Dąbie,34.25,2.0,2200.0,64.23
Kraków,Dębniki,52.0,2.0,1900.0,36.54
Kraków,Os. Podwawelskie,29.0,1.0,1500.0,51.72
Szczecin,Pogodno,120.0,4.0,4000.0,33.33
Wrocław,Śródmieście,50.0,3.0,2400.0,48.0
Warszawa,Ochota,55.42,3.0,3400.0,61.35
Gdańsk,Stare Miasto,95.0,4.0,3000.0,31.58
Wrocław,Ołtaszyn,56.0,2.0,1900.0,33.93
Gdańsk,Śródmieście,68.0,3.0,3800.0,55.88
Wrocław,Stare Miasto,46.0,2.0,1960.0,42.61
Warszawa,Ksawerów,43.38,2.0,2700.0,62.24
Kraków,Prądnik Czerwony,41.0,2.0,1700.0,41.46
Poznań,Grunwald,68.0,3.0,2600.0,38.24
Szczecin,Warszewo,40.0,1.0,1350.0,33.75
Warszawa,Wilanów,109.0,3.0,4900.0,44.95
Warszawa,Mokotów,110.0,4.0,5000.0,45.45
Warszawa,Śródmieście,39.2,2.0,2400.0,61.22
Łódź,Śródmieście,62.0,3.0,2700.0,43.55
Kraków,Grzegórzki,61.0,3.0,2900.0,47.54
dolnośląskie,Wrocław,30.0,1.0,2600.0,86.67
Kraków,Stare Miasto,66.0,3.0,3400.0,51.52
Warszawa,Mokotów,120.0,3.0,8000.0,66.67
Warszawa,Powiśle,60.0,2.0,2700.0,45.0
Łódź,Julianów-Marysin-Rogi,142.0,4.0,4000.0,28.17
Warszawa,Śródmieście,21.0,1.0,2900.0,138.1
Wrocław,Stare Miasto,49.02,2.0,2500.0,51.0
Warszawa,Bemowo,48.0,2.0,1800.0,37.5
Gdańsk,Jasień,50.0,2.0,2100.0,42.0
Warszawa,Stary Mokotów,45.0,2.0,2500.0,55.56
Łódź,Górna,37.0,2.0,1100.0,29.73
Szczecin,Centrum,39.14,2.0,2000.0,51.1
Gdańsk,Śródmieście,86.77,4.0,3300.0,38.03
Wrocław,Os. Stare Miasto,40.0,2.0,2100.0,52.5
Łódź,Śródmieście,80.0,3.0,1100.0,13.75
Warszawa,Stary Żoliborz,21.0,1.0,1800.0,85.71
Warszawa,Wola,55.0,2.0,2700.0,49.09
Kraków,Dębniki,48.0,2.0,2250.0,46.88
Warszawa,Bemowo,51.0,2.0,1600.0,31.37
Gdańsk,Chełm,72.4,4.0,2200.0,30.39
Kraków,Bronowice,36.0,2.0,1500.0,41.67
Warszawa,Mokotów,75.0,3.0,3500.0,46.67
Kraków,Wieczysta,40.0,2.0,1300.0,32.5
Warszawa,Śródmieście,50.0,2.0,2500.0,50.0
Szczecin,Pogodno,100.0,4.0,4000.0,40.0
Warszawa,Śródmieście,59.0,2.0,2800.0,47.46
mazowieckie,Warszawa,149.0,4.0,6900.0,46.31
Warszawa,Czyste,40.0,2.0,2300.0,57.5
Gdańsk,Przymorze,40.0,2.0,2300.0,57.5
Kraków,Podgórze,40.0,2.0,2000.0,50.0
Kraków,Os. Prądnik Biały,28.0,1.0,1200.0,42.86
Kraków,Prądnik Biały,50.0,1.0,1550.0,31.0
Warszawa,Kabaty,57.3,3.0,3000.0,52.36
Kraków,Stare Miasto,220.0,6.0,7000.0,31.82
Wrocław,Grabiszyn-Grabiszynek,96.2,3.0,4500.0,46.78
Gdańsk,Śródmieście,45.0,2.0,2100.0,46.67
Warszawa,Ochota,45.0,2.0,2500.0,55.56
Kraków,Kazimierz,29.0,1.0,1900.0,65.52
Kraków,Grzegórzki,57.0,2.0,3000.0,52.63
Kraków,Stare Miasto,60.0,3.0,2200.0,36.67
Kraków,Prądnik Biały,75.0,3.0,2300.0,30.67
Kraków,Stare Miasto,37.0,2.0,1800.0,48.65
Kraków,Mydlniki,54.23,2.0,1600.0,29.5
Warszawa,Śródmieście,150.0,3.0,13000.0,86.67
Kraków,Rżąka,82.0,5.0,1800.0,21.95
Łódź,Śródmieście,35.0,1.0,1550.0,44.29
Warszawa,Mokotów,71.0,3.0,4800.0,67.61
Kraków,Kazimierz,20.0,1.0,1600.0,80.0
Warszawa,Śródmieście,78.0,2.0,3200.0,41.03
Warszawa,Służewiec,92.0,3.0,3700.0,40.22
Kraków,Stare Miasto,45.0,2.0,2550.0,56.67
Wrocław,Krzyki,74.0,3.0,2400.0,32.43
Kraków,Mistrzejowice,65.0,3.0,2000.0,30.77
Wrocław,Stare Miasto,50.0,2.0,3700.0,74.0
Gdańsk,Śródmieście,48.0,2.0,2650.0,55.21
Warszawa,Śródmieście Północne,45.5,2.0,2500.0,54.95
Warszawa,Wola,30.0,1.0,1100.0,36.67
Warszawa,Natolin,47.8,2.0,1850.0,38.7
małopolskie,Kraków,70.0,3.0,2700.0,38.57
Gdańsk,Śródmieście,50.0,2.0,2100.0,42.0
Warszawa,Śródmieście,38.0,1.0,3200.0,84.21
Kraków,Dębniki,49.0,2.0,2190.0,44.69
Warszawa,Wola,60.0,3.0,2900.0,48.33
wielkopolskie,Poznań,32.0,1.0,1200.0,37.5
Warszawa,Mokotów,18.0,1.0,1800.0,100.0
Szczecin,Stare Miasto,59.0,3.0,3500.0,59.32
Gdańsk,Piecki-Migowo,70.0,3.0,2600.0,37.14
Warszawa,Żoliborz,31.0,2.0,2900.0,93.55
Kraków,Stare Miasto,32.0,1.0,1350.0,42.19
małopolskie,Kraków,49.0,2.0,2200.0,44.9
Warszawa,Żoliborz,82.0,3.0,4000.0,48.78
Kraków,Borek Fałęcki,35.0,1.0,1500.0,42.86
małopolskie,Kraków,30.0,1.0,1600.0,53.33
łódzkie,Łódź,83.0,3.0,2600.0,31.33
Warszawa,Saska Kępa,55.0,2.0,2500.0,45.45
Warszawa,Mokotów,27.0,1.0,1500.0,55.56
Warszawa,Mokotów,98.0,3.0,5000.0,51.02
małopolskie,Kraków,56.0,2.0,2100.0,37.5
Wrocław,Krzyki,32.09,1.0,1400.0,43.63
Warszawa,Śródmieście,52.0,2.0,2900.0,55.77
Wrocław,Stare Miasto,50.0,3.0,1500.0,30.0
Kraków,Stare Miasto,40.0,2.0,1800.0,45.0
Warszawa,Muranów,50.0,2.0,2400.0,48.0
Warszawa,Śródmieście,121.0,4.0,6200.0,51.24
Wrocław,Krzyki,52.0,2.0,1900.0,36.54
Kraków,Stare Miasto,39.0,2.0,2100.0,53.85
Poznań,Stare Miasto,19.0,1.0,1250.0,65.79
Poznań,Stare Miasto,45.0,2.0,2300.0,51.11
małopolskie,Kraków,40.0,2.0,2100.0,52.5
Kraków,Krowodrza,72.0,2.0,2200.0,30.56
Kraków,Stare Miasto,110.0,3.0,4980.0,45.27
Łódź,Śródmieście,40.0,2.0,2000.0,50.0
Warszawa,Mokotów,45.0,2.0,3500.0,77.78
Warszawa,Śródmieście,75.0,2.0,5500.0,73.33
Kraków,Stare Miasto,39.0,2.0,1800.0,46.15
małopolskie,Kraków,94.0,3.0,2400.0,25.53
Warszawa,Śródmieście,61.4,2.0,3600.0,58.63
Łódź,Śródmieście,63.0,1.0,1600.0,25.4
Szczecin,Centrum,115.0,3.0,2800.0,24.35
Warszawa,Śródmieście,47.0,2.0,2400.0,51.06
Kraków,Stare Miasto,45.2,2.0,1990.0,44.03
małopolskie,Kraków,108.0,3.0,6000.0,55.56
Warszawa,Śródmieście,33.0,1.0,2300.0,69.7
Warszawa,Stara Ochota,20.0,1.0,1600.0,80.0
Warszawa,Włochy,33.0,2.0,3000.0,90.91
Warszawa,Fort Bema,49.0,2.0,2600.0,53.06
Kraków,Os. Kliny Zacisze,45.0,2.0,1500.0,33.33
Warszawa,Ochota,37.0,2.0,4450.0,120.27
Warszawa,Ursynów,51.0,2.0,1600.0,31.37
Kraków,Dąbie,50.0,2.0,2050.0,41.0
Kraków,Łobzów,42.0,3.0,1800.0,42.86
Gdańsk,Przymorze,38.0,2.0,2600.0,68.42
mazowieckie,Warszawa,42.2,2.0,3000.0,71.09
Warszawa,Żoliborz,82.0,3.0,5000.0,60.98
Kraków,Stare Miasto,44.25,2.0,2000.0,45.2
Gdańsk,Oliwa,22.0,1.0,1650.0,75.0
Kraków,Stare Miasto,89.0,3.0,5900.0,66.29
Wrocław,Stare Miasto,52.0,2.0,2300.0,44.23
Warszawa,Włochy,34.0,,1800.0,52.94
Warszawa,Mokotów,42.0,2.0,2700.0,64.29
Kraków,Bieńczyce,38.0,2.0,1200.0,31.58
Łódź,Widzew,37.0,2.0,1400.0,37.84
Warszawa,Mokotów,54.0,2.0,3000.0,55.56
Warszawa,Mokotów,118.5,3.0,8500.0,71.73
Warszawa,Odolany,47.0,2.0,2500.0,53.19
Kraków,Krowodrza,30.0,1.0,1000.0,33.33
Kraków,Stare Miasto,40.0,1.0,1600.0,40.0
Warszawa,Wilanów,177.0,5.0,6550.0,37.01
małopolskie,Kraków,53.0,2.0,2300.0,43.4
Kraków,Nowa Huta,18.0,1.0,700.0,38.89
Warszawa,Praga-Południe,62.0,2.0,1300.0,20.97
Łódź,Śródmieście,70.75,3.0,1500.0,21.2
Poznań,Jeżyce,53.9,2.0,2500.0,46.38
Kraków,Os. Krowodrza Górka,43.0,2.0,1450.0,33.72
Szczecin,Centrum,59.21,3.0,3000.0,50.67
Kraków,Krowodrza,38.0,2.0,1600.0,42.11
Warszawa,Mokotów,76.0,3.0,5500.0,72.37
Warszawa,Fort Bema,91.0,4.0,2900.0,31.87
Łódź,Polesie,42.0,2.0,1300.0,30.95
Warszawa,Śródmieście,34.0,1.0,2200.0,64.71
Kraków,Grzegórzki,66.0,3.0,3500.0,53.03
Kraków,Os. Ruczaj,40.0,2.0,1700.0,42.5
Szczecin,Centrum,78.0,3.0,4300.0,55.13
Warszawa,Kabaty,55.0,2.0,2400.0,43.64
Kraków,Os. Na Kozłówce,30.0,1.0,1080.0,36.0
Warszawa,Saska Kępa,180.0,4.0,8500.0,47.22
Warszawa,Tarchomin,43.9,2.0,1400.0,31.89
małopolskie,Kraków,85.0,3.0,2800.0,32.94
Szczecin,Gumieńce,43.0,2.0,1850.0,43.02
małopolskie,Kraków,76.0,2.0,2200.0,28.95
Kraków,Os. Prądnik Biały,44.0,2.0,1400.0,31.82
Kraków,Grzegórzki,70.0,2.0,2100.0,30.0
Kraków,Kazimierz,83.0,3.0,5300.0,63.86
Warszawa,Skorosze,67.7,3.0,2700.0,39.88
mazowieckie,Warszawa,84.0,3.0,6500.0,77.38
Warszawa,Ochota,54.0,2.0,2300.0,42.59
Kraków,Stare Miasto,149.0,4.0,7600.0,51.01
Szczecin,Bezrzecze - Krzekowo,64.0,3.0,2200.0,34.38
Szczecin,Centrum,41.28,2.0,3000.0,72.67
Warszawa,Bemowo,65.86,3.0,1900.0,28.85
Gdańsk,Przymorze,38.5,2.0,2200.0,57.14
Kraków,Grzegórzki,47.0,2.0,2300.0,48.94
Wrocław,Nadodrze,30.0,1.0,1600.0,53.33
Szczecin,Centrum,51.0,2.0,1600.0,31.37
dolnośląskie,Wrocław,30.0,1.0,1400.0,46.67
Warszawa,Bielany,55.0,2.0,2300.0,41.82
Warszawa,Mokotów,62.0,2.0,3800.0,61.29
Kraków,Kazimierz,65.0,3.0,4300.0,66.15
Warszawa,Mokotów,137.0,4.0,7500.0,54.74
Warszawa,Śródmieście,25.0,1.0,1750.0,70.0
Kraków,Grzegórzki,70.0,2.0,2000.0,28.57
Kraków,Grzegórzki,36.0,2.0,1750.0,48.61
Kraków,Podgórze,28.0,2.0,1800.0,64.29
Warszawa,Wilanów,110.0,4.0,10000.0,90.91
Łódź,Widzew,44.0,3.0,1300.0,29.55
Gdańsk,Wrzeszcz,85.0,3.0,2600.0,30.59
Poznań,Stare Miasto,30.0,1.0,1450.0,48.33
Poznań,Naramowice,35.5,1.0,1200.0,33.8
Wrocław,Klecina,39.0,2.0,2000.0,51.28
Szczecin,Gumieńce,65.0,2.0,2000.0,30.77
Wrocław,Stare Miasto,60.0,2.0,4500.0,75.0
Gdańsk,Oliwa,45.0,2.0,2300.0,51.11
Wrocław,Os. Stare Miasto,66.0,2.0,2500.0,37.88
Kraków,Grzegórzki,61.0,3.0,3200.0,52.46
Warszawa,Powiśle,80.1,3.0,8500.0,106.12
Łódź,Śródmieście,70.0,3.0,2000.0,28.57
Łódź,Bałuty,60.0,2.0,2000.0,33.33
Kraków,Podgórze,38.0,2.0,2800.0,73.68
Kraków,Stare Miasto,117.0,4.0,4800.0,41.03
Warszawa,Powiśle,100.0,3.0,6500.0,65.0
Gdańsk,Śródmieście,46.0,2.0,1900.0,41.3
Warszawa,Śródmieście,55.0,2.0,2700.0,49.09
Warszawa,Śródmieście,51.5,2.0,4500.0,87.38
Kraków,Podgórze Duchackie,74.0,5.0,2900.0,39.19
Warszawa,Muranów,33.0,1.0,3900.0,118.18
Kraków,Krowodrza,50.0,2.0,1500.0,30.0
Wrocław,Krzyki,15.0,1.0,1160.0,77.33
Kraków,Stare Miasto,52.5,2.0,2100.0,40.0
Kraków,Salwator,45.0,2.0,1400.0,31.11
Poznań,Grunwald,53.0,3.0,1990.0,37.55
Warszawa,Wilanów,86.0,3.0,4800.0,55.81
Łódź,Śródmieście,38.0,1.0,2000.0,52.63
Wrocław,Śródmieście,50.0,2.0,2000.0,40.0
Warszawa,Międzylesie,144.0,,4500.0,31.25
Warszawa,Praga-Południe,60.0,3.0,2600.0,43.33
Warszawa,Muranów,59.0,2.0,2990.0,50.68
Warszawa,Śródmieście,55.0,2.0,4500.0,81.82
Poznań,Chwaliszewo,90.0,3.0,1828.0,20.31
Kraków,Krowodrza,52.0,2.0,1850.0,35.58
Łódź,Śródmieście,32.0,1.0,2000.0,62.5
Kraków,Krowodrza,20.0,2.0,1150.0,57.5
Warszawa,Mokotów,140.0,4.0,7000.0,50.0
Kraków,Zabłocie,61.0,2.0,2550.0,41.8
Wrocław,Wojszyce,94.0,4.0,3700.0,39.36
Kraków,Nowa Huta,55.0,3.0,1800.0,32.73
Warszawa,Wilanów,48.0,2.0,2400.0,50.0
Szczecin,Pomorzany,39.0,2.0,1600.0,41.03
Warszawa,Śródmieście,56.0,2.0,2900.0,51.79
Kraków,Podgórze,74.0,4.0,1800.0,24.32
Warszawa,Mokotów,108.0,3.0,6500.0,60.19
Kraków,Grzegórzki,37.0,2.0,2500.0,67.57
Kraków,Stare Miasto,40.0,2.0,1500.0,37.5
Warszawa,Praga-Północ,39.44,1.0,1200.0,30.43
pod budynkiem,,65.43,2.0,2700.0,41.27
Warszawa,Praga-Północ,50.0,2.0,3800.0,76.0
Kraków,Stare Miasto,30.0,1.0,2400.0,80.0
Kraków,Dębniki,110.0,4.0,8500.0,77.27
Wrocław,Stare Miasto,55.0,2.0,2500.0,45.45
mazowieckie,Warszawa,75.0,3.0,6500.0,86.67
małopolskie,Kraków,83.58,2.0,3350.0,40.08
Kraków,Bronowice Małe,57.0,3.0,2250.0,39.47
Warszawa,Śródmieście,97.0,3.0,9000.0,92.78
Kraków,Stare Miasto,31.0,1.0,1500.0,48.39
Kraków,Kurdwanów,66.0,3.0,1800.0,27.27
Warszawa,Śródmieście,54.0,2.0,6400.0,118.52
Wrocław,Stare Miasto,42.0,2.0,3400.0,80.95
Wrocław,Złotniki,40.0,2.0,1800.0,45.0
Łódź,Śródmieście,55.0,2.0,1500.0,27.27
Warszawa,Kabaty,52.0,2.0,2400.0,46.15
Warszawa,Śródmieście,30.0,1.0,1700.0,56.67
Warszawa,Śródmieście,26.0,1.0,2399.0,92.27
Warszawa,Stara Ochota,50.0,3.0,2800.0,56.0
Kraków,Bieżanów-Prokocim,30.0,2.0,1800.0,60.0
Kraków,Mistrzejowice,33.0,2.0,1450.0,43.94
Warszawa,Śródmieście,23.4,1.0,1950.0,83.33
Kraków,Podgórze,42.0,2.0,2100.0,50.0
małopolskie,Kraków,44.0,2.0,2300.0,52.27
Kraków,Krowodrza,36.0,2.0,1500.0,41.67
Poznań,Piątkowo,27.8,1.0,1200.0,43.17
Łódź,Śródmieście,64.0,2.0,2500.0,39.06
Kraków,Stare Miasto,65.0,2.0,3500.0,53.85
Warszawa,Bielany,38.0,2.0,1600.0,42.11
Kraków,Stare Miasto,156.0,5.0,6900.0,44.23
Łódź,Bałuty,45.0,2.0,1300.0,28.89
Gdańsk,Śródmieście,57.18,2.0,3000.0,52.47
Warszawa,Praga-Południe,35.0,1.0,1990.0,56.86
Szczecin,Pomorzany,63.0,2.0,1600.0,25.4
Wrocław,Śródmieście,51.0,2.0,2000.0,39.22
Wrocław,Śródmieście,101.0,3.0,5000.0,49.5
Warszawa,Ursus,90.0,3.0,4800.0,53.33
Kraków,Stare Miasto,66.0,2.0,2000.0,30.3
Kraków,Os. Krowodrza Górka,53.0,2.0,1900.0,35.85
Gdańsk,Przymorze,40.0,2.0,2300.0,57.5
Szczecin,Centrum,48.0,2.0,2999.0,62.48
Łódź,Śródmieście-Wschód,50.0,1.0,1100.0,22.0
Warszawa,Mokotów,35.0,2.0,1600.0,45.71
Warszawa,Bielany,45.6,2.0,1900.0,41.67
Warszawa,Mokotów,28.31,1.0,2500.0,88.31
Kraków,Dębniki,38.0,2.0,1800.0,47.37
Warszawa,Wola,82.0,4.0,3900.0,47.56
Gdańsk,Wrzeszcz,118.0,4.0,6000.0,50.85
Warszawa,Stare Miasto,56.0,2.0,5500.0,98.21
Warszawa,Śródmieście,41.0,2.0,3700.0,90.24
Szczecin,Bezrzecze - Krzekowo,66.66,3.0,2250.0,33.75
Wrocław,Stare Miasto,44.0,1.0,1700.0,38.64
Wrocław,Śródmieście,75.3,3.0,4000.0,53.12
Kraków,Bieżanów-Prokocim,30.0,2.0,1100.0,36.67
wielkopolskie,Poznań,33.0,1.0,1290.0,39.09
Wrocław,Wojszyce,40.0,2.0,1999.0,49.98
Kraków,Wola Duchacka,74.0,4.0,2800.0,37.84
Warszawa,Wilanów,40.0,2.0,2500.0,62.5
Warszawa,Mokotów,91.0,3.0,6000.0,65.93
Kraków,Krowodrza,28.0,1.0,1600.0,57.14
Gdańsk,Piecki-Migowo,41.0,2.0,2150.0,52.44
Gdańsk,Przymorze,30.0,1.0,2100.0,70.0
małopolskie,Kraków,50.0,2.0,2200.0,44.0
dolnośląskie,Wrocław,32.0,1.0,1900.0,59.38
Warszawa,Mokotów,213.0,5.0,12000.0,56.34
Warszawa,Mokotów,60.0,3.0,2700.0,45.0
Kraków,Stare Miasto,22.0,1.0,1500.0,68.18
Kraków,Grzegórzki,60.0,3.0,3000.0,50.0
Warszawa,Bielany,92.0,3.0,8000.0,86.96
Wrocław,Stare Miasto,33.0,2.0,2000.0,60.61
Kraków,Podgórze,28.0,1.0,2300.0,82.14
Poznań,Winogrady,47.3,3.0,600.0,12.68
Wrocław,Krzyki,47.3,2.0,2300.0,48.63
małopolskie,Kraków,45.0,2.0,2300.0,51.11
Warszawa,Targówek,60.0,2.0,2300.0,38.33
pomorskie,Gdańsk,43.0,2.0,2400.0,55.81
Kraków,Dębniki,52.0,2.0,1600.0,30.77
mazowieckie,Warszawa,73.0,3.0,8000.0,109.59
Kraków,Wola Duchacka,42.0,2.0,1200.0,28.57
Wrocław,Stare Miasto,38.88,2.0,2600.0,66.87
Kraków,Piasek,45.0,2.0,2700.0,60.0
Kraków,Salwator,47.57,2.0,2300.0,48.35
Warszawa,Wola,37.0,2.0,2500.0,67.57
Warszawa,Mirów,103.0,4.0,6500.0,63.11
Warszawa,Wilanów,64.0,2.0,3500.0,54.69
Kraków,Stare Miasto,87.0,2.0,3700.0,42.53
Kraków,Grzegórzki,54.0,2.0,2100.0,38.89
Warszawa,Śródmieście Północne,38.0,2.0,5000.0,131.58
Warszawa,Wilanów,80.3,2.0,3200.0,39.85
Warszawa,Śródmieście,74.6,3.0,3900.0,52.28
Warszawa,Bemowo,66.0,3.0,2200.0,33.33
Kraków,Górka Narodowa,56.0,2.0,1500.0,26.79
Kraków,Dębniki,68.0,3.0,3000.0,44.12
Kraków,Stare Miasto,21.0,1.0,2800.0,133.33
Łódź,Bałuty,55.6,2.0,2500.0,44.96
Wrocław,Psie Pole,42.0,2.0,2100.0,50.0
Warszawa,Ursynów,40.0,1.0,2000.0,50.0
Warszawa,Natolin,55.0,2.0,2100.0,38.18
Warszawa,Stary Mokotów,131.0,4.0,12000.0,91.6
Gdańsk,Piecki-Migowo,71.0,4.0,2990.0,42.11
Warszawa,Mokotów,74.0,3.0,3750.0,50.68
Poznań,Jeżyce,62.0,2.0,1500.0,24.19
przy budynku,,45.0,2.0,1900.0,42.22
Łódź,Chojny-Dąbrowa,47.22,3.0,1200.0,25.41
Warszawa,Śródmieście,40.0,2.0,2700.0,67.5
Poznań,Stare Miasto,48.5,2.0,2100.0,43.3
Warszawa,Wola,150.0,4.0,16000.0,106.67
Kraków,Krowodrza,54.0,2.0,1800.0,33.33
Kraków,Salwator,47.57,2.0,2300.0,48.35
Warszawa,Stegny,193.0,4.0,12000.0,62.18
Warszawa,Śródmieście,47.0,2.0,4000.0,85.11
Kraków,Bronowice,25.0,1.0,1690.0,67.6
Warszawa,Ursynów,52.0,2.0,2100.0,40.38
Warszawa,Żoliborz,103.8,4.0,6500.0,62.62
Kraków,Stare Miasto,40.91,2.0,1700.0,41.55
Warszawa,Białołęka,53.9,2.0,1800.0,33.4
Kraków,Os. Ruczaj,44.4,2.0,1600.0,36.04
Warszawa,Śródmieście Południowe,53.0,2.0,2600.0,49.06
Kraków,Kazimierz,70.0,3.0,2500.0,35.71
Kraków,Prądnik Biały,41.0,2.0,1499.0,36.56
Kraków,Stare Miasto,60.0,3.0,3600.0,60.0
Warszawa,Ursus,54.0,3.0,2750.0,50.93
Kraków,Stare Miasto,20.0,1.0,1000.0,50.0
wielkopolskie,Poznań,31.0,1.0,1500.0,48.39
Warszawa,Śródmieście Południowe,95.0,3.0,10000.0,105.26
Kraków,Bronowice,60.0,3.0,2200.0,36.67
Kraków,Kazimierz,57.0,3.0,2600.0,45.61
Wrocław,Krzyki,84.0,4.0,2400.0,28.57
Warszawa,Śródmieście,20.0,1.0,2050.0,102.5
Warszawa,Muranów,42.0,2.0,1900.0,45.24
małopolskie,Kraków,48.0,2.0,1900.0,39.58
Kraków,Bronowice Wielkie,35.0,1.0,1500.0,42.86
Warszawa,Szczęśliwice,56.0,2.0,2700.0,48.21
Warszawa,Śródmieście,40.0,2.0,2900.0,72.5
Poznań,Piątkowo,49.0,2.0,1650.0,33.67
Kraków,Prądnik Biały,55.0,2.0,1700.0,30.91
Warszawa,Białołęka,42.0,2.0,1700.0,40.48
Poznań,Stare Miasto,21.0,1.0,1250.0,59.52
Kraków,Stare Miasto,50.0,2.0,1950.0,39.0
Wrocław,Krzyki,36.93,2.0,1950.0,52.8
Warszawa,Mokotów,63.0,2.0,3800.0,60.32
Warszawa,Mokotów,84.0,3.0,4500.0,53.57
Kraków,Grzegórzki,37.0,2.0,2500.0,67.57
Warszawa,Ochota,85.7,3.0,3700.0,43.17
Poznań,Grunwald,46.0,2.0,1800.0,39.13
Wrocław,Os. Stare Miasto,38.0,2.0,2000.0,52.63
Kraków,Stare Miasto,56.0,2.0,2150.0,38.39
Łódź,Polesie,47.0,2.0,2000.0,42.55
Kraków,Stare Miasto,83.0,3.0,7000.0,84.34
Kraków,Podgórze,33.0,1.0,1900.0,57.58
Warszawa,Mokotów,140.0,4.0,6500.0,46.43
