"Nr OKW";"Kod TERYT";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Andrzej Sebastian DUDA";"Rafał Kazimierz TRZASKOWSKI";"Liczba obwodów"
2;"020100";"bolesławiecki";"dolnośląskie";63867;67800;21631;42238;13;633;356;342;6;0;1;1;335;42570;334;1;42569;322;179;143;"";42247;20966;21281;63
4;"020200";"dzierżoniowski";"dolnośląskie";73104;77836;24749;48353;54;878;441;423;9;1;3;2;408;48759;408;4;48755;413;235;178;"";48342;24383;23959;83
3;"020300";"głogowski";"dolnośląskie";63362;66323;19393;43970;20;719;309;298;12;2;0;0;284;44251;284;9;44242;363;231;132;"";43879;22722;21157;53
1;"020400";"górowski";"dolnośląskie";24371;26736;8679;15692;21;210;170;167;4;0;0;0;163;15853;163;0;15853;138;68;70;"";15715;8957;6758;23
2;"020500";"jaworski";"dolnośląskie";36822;39507;12316;24506;38;411;292;286;10;0;1;2;273;24777;273;0;24777;240;135;105;"";24537;13358;11179;39
2;"020600";"jeleniogórski";"dolnośląskie";48440;54592;12163;36278;42;4957;384;377;2;0;1;0;374;36653;374;2;36651;295;175;120;"";36356;13131;23225;53
2;"020700";"kamiennogórski";"dolnośląskie";32045;33809;11148;20896;30;413;157;149;5;0;0;0;144;21040;144;5;21035;169;93;76;"";20866;9920;10946;32
4;"020800";"kłodzki";"dolnośląskie";117617;129045;37438;80179;102;5950;862;817;18;3;5;0;791;80967;791;12;80955;647;352;295;"";80308;37276;43032;137
3;"020900";"legnicki";"dolnośląskie";38871;41869;11613;27258;25;441;211;197;6;0;3;1;188;27445;188;0;27445;236;128;108;"";27209;15259;11950;45
2;"021000";"lubański";"dolnośląskie";40084;43150;13306;26778;11;1202;214;203;13;0;0;0;190;26967;189;0;26967;245;119;126;"";26722;12096;14626;41
3;"021100";"lubiński";"dolnośląskie";75693;79505;22795;52898;25;851;388;367;10;0;3;0;354;53247;354;2;53245;414;236;178;"";52831;29704;23127;75
2;"021200";"lwówecki";"dolnośląskie";33497;35812;12255;21242;43;651;189;182;1;1;1;1;178;21419;177;2;21417;183;85;98;"";21234;10206;11028;39
1;"021300";"milicki";"dolnośląskie";26345;28856;7997;18348;15;288;155;152;2;0;0;0;150;18498;150;1;18497;125;69;56;"";18372;10153;8219;27
1;"021400";"oleśnicki";"dolnośląskie";75305;81819;22463;52853;25;866;576;555;11;4;7;0;533;53385;533;2;53383;398;210;188;"";52985;25524;27461;66
1;"021500";"oławski";"dolnośląskie";53885;58184;13888;39995;41;536;355;346;8;1;12;0;325;40325;325;1;40324;321;180;141;"";40003;19825;20178;51
3;"021600";"polkowicki";"dolnośląskie";44140;46926;13920;30239;58;511;197;188;5;0;2;0;181;30419;181;0;30419;295;178;117;"";30124;18597;11527;43
1;"021700";"strzeliński";"dolnośląskie";32342;35011;9394;22948;26;331;254;249;3;0;0;0;246;23194;246;0;23194;165;92;73;"";23029;13199;9830;39
1;"021800";"średzki";"dolnośląskie";38880;42361;10900;27979;19;482;277;268;5;0;0;1;262;28241;262;2;28239;252;133;119;"";27987;14656;13331;36
4;"021900";"świdnicki";"dolnośląskie";113359;120298;35823;77535;88;1230;746;699;13;4;11;0;671;78206;671;1;78205;629;336;293;"";77576;36334;41242;107
1;"022000";"trzebnicki";"dolnośląskie";60655;65963;15748;44907;34;827;396;382;5;0;0;0;377;45269;377;1;45268;363;188;175;"";44905;22627;22278;60
4;"022100";"wałbrzyski";"dolnośląskie";40984;43390;14245;26738;44;907;286;271;4;0;0;0;267;27004;267;8;26996;224;122;102;"";26772;11265;15507;50
1;"022200";"wołowski";"dolnośląskie";35155;37493;11228;23924;19;322;178;172;3;0;0;0;169;24091;169;0;24091;212;102;110;"";23879;12847;11032;33
1;"022300";"wrocławski";"dolnośląskie";103434;114486;18946;84465;58;2255;962;930;20;0;5;0;905;85380;905;25;85355;847;525;322;"";84508;35366;49142;85
4;"022400";"ząbkowicki";"dolnośląskie";47852;51235;16387;31465;69;685;337;324;2;0;2;3;317;31778;317;1;31777;235;130;105;"";31542;17141;14401;73
2;"022500";"zgorzelecki";"dolnośląskie";64820;69163;21895;42919;45;1137;354;340;17;0;0;0;323;43241;323;4;43237;371;208;163;"";42866;20352;22514;82
2;"022600";"złotoryjski";"dolnośląskie";32109;33719;11074;21045;28;372;146;145;0;0;0;1;144;21188;144;1;21187;173;86;87;"";21014;10788;10226;43
2;"026100";"Jelenia Góra";"dolnośląskie";57198;60866;16799;40401;21;1454;388;368;10;0;2;0;356;40755;356;2;40753;308;201;107;"";40445;14403;26042;47
3;"026200";"Legnica";"dolnośląskie";68620;72273;21784;46816;18;759;417;390;8;4;7;0;371;47184;371;1;47183;353;200;153;"";46830;21190;25640;49
1;"026400";"Wrocław";"dolnośląskie";444281;501319;79842;364567;262;10476;4878;4537;54;4;6;21;4470;368995;4471;62;368933;3588;2250;1338;"";365345;121958;243387;312
4;"026500";"Wałbrzych";"dolnośląskie";78104;81030;28492;49609;40;773;371;354;6;0;4;0;344;49947;344;6;49941;429;248;181;"";49512;19628;29884;61
7;"040100";"aleksandrowski";"kujawsko-pomorskie";41595;45431;11970;29625;38;2090;288;281;6;0;0;1;274;29898;274;0;29898;241;150;91;"";29657;16198;13459;56
6;"040200";"brodnicki";"kujawsko-pomorskie";56112;60724;17739;38372;38;1127;290;282;17;1;1;0;263;38634;263;2;38632;315;190;125;"";38317;21478;16839;59
5;"040300";"bydgoski";"kujawsko-pomorskie";82992;89345;21320;61671;72;1343;526;509;14;1;1;1;493;62156;493;0;62156;492;291;201;"";61664;24536;37128;103
6;"040400";"chełmiński";"kujawsko-pomorskie";36261;38321;12960;23294;26;287;193;182;4;1;0;0;177;23470;177;1;23469;219;105;114;"";23250;11618;11632;47
6;"040500";"golubsko-dobrzyński";"kujawsko-pomorskie";32701;35036;11118;21583;38;313;155;153;6;0;0;0;147;21731;147;2;21729;161;92;69;"";21568;12907;8661;32
6;"040600";"grudziądzki";"kujawsko-pomorskie";28577;30558;10500;18077;17;184;125;125;4;0;1;1;119;18195;119;0;18195;153;73;80;"";18042;10350;7692;42
5;"040700";"inowrocławski";"kujawsko-pomorskie";115916;124249;37404;78525;79;1467;619;601;2;2;4;0;593;79091;593;4;79087;581;339;242;"";78506;36641;41865;141
7;"040800";"lipnowski";"kujawsko-pomorskie";46527;51610;16359;30168;47;584;252;244;4;0;3;1;236;30403;236;0;30403;241;130;111;"";30162;18164;11998;68
5;"040900";"mogileński";"kujawsko-pomorskie";33436;36264;10991;22445;15;408;124;121;2;0;0;0;119;22564;119;2;22562;164;116;48;"";22398;11926;10472;41
5;"041000";"nakielski";"kujawsko-pomorskie";61356;65229;20622;40733;29;582;302;292;16;2;0;0;274;41005;274;0;41005;330;190;140;"";40675;20058;20617;78
7;"041100";"radziejowski";"kujawsko-pomorskie";30758;33286;9909;20860;60;700;172;167;0;0;0;0;167;21026;167;0;21026;150;95;55;"";20876;13477;7399;51
7;"041200";"rypiński";"kujawsko-pomorskie";31620;34170;10685;20935;52;456;155;147;12;0;5;0;130;21064;130;0;21064;138;65;73;"";20926;12569;8357;45
5;"041300";"sępoleński";"kujawsko-pomorskie";29289;31132;10292;18997;37;422;97;92;2;0;0;0;90;19087;90;0;19087;104;66;38;"";18983;9882;9101;42
5;"041400";"świecki";"kujawsko-pomorskie";70375;75066;24229;46146;69;919;301;292;3;2;0;0;287;46433;287;1;46432;354;202;152;"";46078;23411;22667;91
6;"041500";"toruński";"kujawsko-pomorskie";75361;80713;22478;52883;42;750;510;496;19;0;3;0;474;53353;474;3;53350;435;239;196;"";52915;25117;27798;70
5;"041600";"tucholski";"kujawsko-pomorskie";34540;38000;10048;24492;34;1044;200;191;6;0;1;0;184;24674;184;0;24674;222;134;88;"";24452;13980;10472;51
6;"041700";"wąbrzeski";"kujawsko-pomorskie";24494;26062;9057;15437;29;189;105;104;3;0;0;0;101;15538;101;0;15538;123;71;52;"";15415;7935;7480;29
7;"041800";"włocławski";"kujawsko-pomorskie";62824;69407;19798;43026;93;1480;368;359;12;0;3;0;344;43370;344;1;43369;348;185;163;"";43021;25230;17791;80
5;"041900";"żniński";"kujawsko-pomorskie";50213;54278;15972;34241;45;680;259;253;4;0;0;1;248;34489;248;0;34489;309;204;105;"";34180;17762;16418;77
5;"046100";"Bydgoszcz";"kujawsko-pomorskie";241623;255625;63978;177645;40;3100;1780;1713;19;1;8;1;1685;179325;1685;6;179319;1462;926;536;"";177857;66131;111726;204
6;"046200";"Grudziądz";"kujawsko-pomorskie";64270;67400;21564;42706;19;571;286;277;2;0;0;0;275;42981;275;2;42979;341;207;134;"";42638;17782;24856;55
6;"046300";"Toruń";"kujawsko-pomorskie";136357;147733;32617;103739;39;2145;1089;1052;24;2;3;0;1023;104759;1023;7;104752;853;527;326;"";103899;38332;65567;123
7;"046400";"Włocławek";"kujawsko-pomorskie";79008;83294;25265;53744;43;853;409;392;3;0;4;0;385;54130;385;3;54127;406;216;190;"";53721;21244;32477;68
9;"060100";"bialski";"lubelskie";81237;87609;26382;54858;124;1140;1034;1001;33;1;11;0;956;55815;956;1;55814;538;285;253;"";55276;38924;16352;115
11;"060200";"biłgorajski";"lubelskie";75494;80984;22829;52665;239;1003;418;410;13;1;0;0;396;53059;396;0;53059;454;219;235;"";52605;39532;13073;99
10;"060300";"chełmski";"lubelskie";57546;62527;21064;36482;87;604;427;413;5;0;7;1;400;36882;400;0;36882;314;162;152;"";36568;26523;10045;90
11;"060400";"hrubieszowski";"lubelskie";48517;51809;18377;30140;83;692;240;235;13;1;0;0;221;30360;221;0;30360;182;74;108;"";30178;21601;8577;69
8;"060500";"janowski";"lubelskie";34409;36801;8603;25808;182;321;334;325;14;0;5;0;306;26114;306;0;26114;231;133;98;"";25883;21795;4088;38
10;"060600";"krasnostawski";"lubelskie";48865;52360;17221;31644;66;438;487;473;8;0;3;2;460;32099;460;2;32097;258;139;119;"";31839;22100;9739;90
8;"060700";"kraśnicki";"lubelskie";70683;75402;21722;48960;154;635;459;444;7;0;0;0;437;49395;437;6;49389;493;298;195;"";48896;35542;13354;86
8;"060800";"lubartowski";"lubelskie";64839;70086;17992;46847;142;859;364;358;6;0;2;1;349;47194;349;0;47194;486;250;236;"";46708;33693;13015;91
8;"060900";"lubelski";"lubelskie";111461;121756;28069;83380;121;1051;917;890;9;0;3;3;875;84253;875;7;84246;892;526;366;"";83354;56890;26464;129
8;"061000";"łęczyński";"lubelskie";40625;44143;11641;28986;22;551;273;265;4;0;0;1;260;29246;260;1;29245;252;140;112;"";28993;20528;8465;53
8;"061100";"łukowski";"lubelskie";76818;82375;19578;57240;94;832;443;431;11;2;4;0;415;57653;415;0;57653;535;275;260;"";57118;44231;12887;98
8;"061200";"opolski";"lubelskie";44475;47984;13870;30605;40;618;260;256;13;0;0;0;243;30848;243;1;30847;251;110;141;"";30596;22414;8182;62
9;"061300";"parczewski";"lubelskie";26178;28358;8216;17963;58;602;93;89;1;0;0;0;88;18050;88;1;18049;141;79;62;"";17908;12228;5680;38
8;"061400";"puławski";"lubelskie";85378;91520;22945;62447;131;2217;761;735;19;0;2;0;714;63133;712;17;63116;653;370;283;"";62463;38844;23619;97
9;"061500";"radzyński";"lubelskie";43188;47193;12702;30486;66;458;183;179;7;2;0;0;170;30654;170;0;30654;319;196;123;"";30335;22736;7599;55
8;"061600";"rycki";"lubelskie";41245;44301;10717;30538;44;545;272;266;6;2;0;0;258;30794;258;0;30794;271;143;128;"";30523;21319;9204;69
8;"061700";"świdnicki";"lubelskie";52514;56029;15306;37208;49;451;463;446;6;1;0;0;439;37647;439;1;37646;340;189;151;"";37306;24088;13218;53
11;"061800";"tomaszowski";"lubelskie";63235;68062;22124;41111;127;1063;498;492;13;0;5;0;474;41584;474;0;41584;350;202;148;"";41234;30349;10885;100
10;"061900";"włodawski";"lubelskie";29958;32637;9170;20788;28;1350;182;179;2;0;0;0;177;20965;177;1;20964;205;113;92;"";20759;12612;8147;47
11;"062000";"zamojski";"lubelskie";80800;87992;24802;55998;202;1953;653;629;13;0;1;2;613;56608;613;0;56608;487;267;220;"";56121;42139;13982;119
9;"066100";"Biała Podlaska";"lubelskie";41840;43771;13081;28751;26;525;297;289;6;0;1;1;281;29026;280;2;29024;284;171;113;"";28740;16160;12580;29
10;"066200";"Chełm";"lubelskie";46645;48686;16234;30411;15;497;266;259;0;1;0;0;258;30669;258;1;30668;273;181;92;"";30395;16196;14199;36
8;"066300";"Lublin";"lubelskie";240661;259924;62597;178061;111;3331;2390;2286;35;1;4;4;2245;180298;2245;11;180287;1698;1037;661;"";178589;87087;91502;208
11;"066400";"Zamość";"lubelskie";46941;49350;15241;31700;26;856;290;266;5;0;5;0;256;31953;256;0;31953;257;161;96;"";31696;17922;13774;35
13;"080100";"gorzowski";"lubuskie";50431;54187;14924;35507;19;681;216;209;9;0;1;0;199;35704;199;2;35702;311;156;155;"";35391;14092;21299;61
12;"080200";"krośnieński";"lubuskie";39678;42336;13583;26095;27;532;256;250;6;1;1;0;242;26335;242;0;26335;185;85;100;"";26150;10339;15811;50
13;"080300";"międzyrzecki";"lubuskie";41884;46410;12420;29464;28;1175;400;381;5;1;5;0;370;29834;370;0;29834;239;123;116;"";29595;12079;17516;55
12;"080400";"nowosolski";"lubuskie";60958;65374;19289;41669;48;776;343;337;22;0;0;0;315;41978;315;4;41974;315;173;142;"";41659;18506;23153;53
13;"080500";"słubicki";"lubuskie";33015;35798;10296;22717;22;759;138;133;1;0;0;0;132;22848;132;3;22845;160;74;86;"";22685;8756;13929;35
13;"080600";"strzelecko-drezdenecki";"lubuskie";35393;38733;11916;23487;26;810;151;144;1;0;2;0;141;23626;141;0;23626;180;100;80;"";23446;10585;12861;40
13;"080700";"sulęciński";"lubuskie";25180;27433;8099;17081;32;517;90;86;1;0;0;0;85;17163;85;0;17163;131;79;52;"";17032;7968;9064;36
12;"080800";"świebodziński";"lubuskie";40042;43548;12076;27971;13;1055;188;183;5;0;1;1;176;28147;176;1;28146;238;137;101;"";27908;11450;16458;39
12;"080900";"zielonogórski";"lubuskie";54437;58070;16775;37662;41;773;259;245;4;1;2;1;237;37892;237;0;37892;285;132;153;"";37607;14924;22683;51
12;"081000";"żagański";"lubuskie";55696;60031;19316;36380;48;596;304;293;18;7;0;2;269;36646;269;0;36646;273;148;125;"";36373;16843;19530;57
12;"081100";"żarski";"lubuskie";69338;73286;24888;44449;35;754;329;308;9;0;3;0;296;44742;296;0;44742;319;173;146;"";44423;18415;26008;67
12;"081200";"wschowski";"lubuskie";27734;30574;8582;19173;7;875;162;157;14;0;2;0;141;19310;141;17;19293;147;88;59;"";19146;10168;8978;32
13;"086100";"Gorzów Wielkopolski";"lubuskie";87019;90649;26330;60685;31;1052;416;398;11;0;3;2;382;61055;383;3;61052;485;269;216;"";60567;22330;38237;68
12;"086200";"Zielona Góra";"lubuskie";97903;103880;23421;74491;58;1604;646;624;17;3;0;3;601;75084;601;8;75076;620;341;279;"";74456;23134;51322;76
15;"100100";"bełchatowski";"łódzkie";81977;87411;20845;61130;92;1010;454;441;19;1;4;1;416;61540;416;5;61535;657;420;237;"";60878;41128;19750;72
14;"100200";"kutnowski";"łódzkie";72143;76663;22020;50124;88;749;471;454;7;1;1;0;445;50568;445;6;50562;431;235;196;"";50131;30888;19243;83
14;"100300";"łaski";"łódzkie";36750;40165;9098;27660;29;513;258;254;1;0;0;0;253;27913;253;0;27913;272;168;104;"";27641;16421;11220;39
14;"100400";"łęczycki";"łódzkie";38103;40869;11523;26580;31;290;228;224;5;0;0;0;219;26797;219;1;26796;232;116;116;"";26564;17968;8596;49
14;"100500";"łowicki";"łódzkie";58166;62772;15054;43112;28;543;368;361;5;0;1;0;355;43466;355;1;43465;434;219;215;"";43031;28650;14381;71
14;"100600";"łódzki wschodni";"łódzkie";51933;56942;10439;41491;41;753;455;437;9;0;2;1;425;41916;425;0;41916;415;248;167;"";41501;21930;19571;77
17;"100700";"opoczyński";"łódzkie";55369;60264;12324;43045;56;680;570;557;11;0;3;0;543;43587;543;3;43584;358;209;149;"";43226;32372;10854;73
14;"100800";"pabianicki";"łódzkie";85643;92285;21104;64547;154;1072;631;595;18;0;2;2;574;65096;574;4;65092;552;304;248;"";64540;30289;34251;70
16;"100900";"pajęczański";"łódzkie";37787;41216;9961;27828;85;448;428;418;17;1;7;0;393;28218;392;5;28213;245;139;106;"";27968;19715;8253;39
15;"101000";"piotrkowski";"łódzkie";66011;73049;15005;51005;99;992;487;471;16;0;19;1;435;51438;435;11;51427;468;267;201;"";50959;37228;13731;78
14;"101100";"poddębicki";"łódzkie";30553;34023;7950;22602;13;634;195;191;3;1;0;2;185;22787;185;1;22786;187;90;97;"";22599;14498;8101;51
15;"101200";"radomszczański";"łódzkie";83838;89684;23915;59922;142;1116;539;521;5;1;5;2;508;60429;508;7;60422;481;290;191;"";59941;38063;21878;89
17;"101300";"rawski";"łódzkie";35577;38491;9241;26336;25;413;147;142;2;1;1;0;138;26473;138;5;26468;230;139;91;"";26238;18162;8076;29
16;"101400";"sieradzki";"łódzkie";86644;93034;24063;62582;44;992;803;788;18;0;5;0;765;63342;765;9;63333;597;375;222;"";62736;40882;21854;94
17;"101500";"skierniewicki";"łódzkie";27584;30280;5484;22102;41;285;200;194;1;0;1;3;189;22290;189;1;22289;295;172;123;"";21994;16455;5539;39
17;"101600";"tomaszowski";"łódzkie";84020;90508;20817;63202;44;1216;725;689;13;6;1;4;665;63864;665;3;63861;563;301;262;"";63298;38800;24498;78
16;"101700";"wieluński";"łódzkie";56476;60747;15472;41033;61;727;440;429;14;0;0;1;414;41444;414;4;41440;397;207;190;"";41043;25759;15284;80
16;"101800";"wieruszowski";"łódzkie";30242;33349;8761;21481;21;269;302;283;10;0;1;0;272;21753;272;1;21752;173;98;75;"";21579;13539;8040;38
16;"101900";"zduńskowolski";"łódzkie";45989;50859;11560;34429;26;457;310;290;5;1;1;1;282;34709;282;2;34707;286;181;105;"";34421;19944;14477;42
14;"102000";"zgierski";"łódzkie";119541;129292;28683;90860;103;1450;895;869;20;2;2;0;846;91702;846;8;91694;748;419;329;"";90946;44021;46925;121
14;"102100";"brzeziński";"łódzkie";22521;24260;5545;16976;54;247;116;113;4;0;0;0;109;17084;109;0;17084;176;96;80;"";16908;10560;6348;39
14;"106100";"Łódź";"łódzkie";491154;511975;134663;356452;189;6038;3727;3539;14;4;12;4;3506;359925;3505;48;359877;3015;1846;1169;"";356862;129082;227780;314
15;"106200";"Piotrków Trybunalski";"łódzkie";53043;55563;14836;38207;29;492;367;358;6;0;2;0;350;38553;350;0;38553;342;206;136;"";38211;19494;18717;41
17;"106300";"Skierniewice";"łódzkie";33329;36279;7465;25864;21;387;247;234;8;0;0;0;227;26090;227;3;26087;225;144;81;"";25862;12556;13306;27
20;"120100";"bocheński";"małopolskie";76144;82520;17222;58921;45;823;810;790;6;0;3;0;781;59703;781;14;59689;553;307;246;"";59136;42272;16864;76
20;"120200";"brzeski";"małopolskie";67073;72357;19081;47991;43;686;594;570;21;0;0;1;548;48535;548;3;48532;554;296;258;"";47978;35017;12961;70
18;"120300";"chrzanowski";"małopolskie";90148;96637;24493;65662;33;813;924;893;13;1;6;0;873;66526;873;3;66523;596;335;261;"";65927;33447;32480;89
20;"120400";"dąbrowski";"małopolskie";43085;46485;14876;28209;75;289;333;317;12;1;6;1;297;28504;297;14;28490;237;118;119;"";28253;22364;5889;54
19;"120500";"gorlicki";"małopolskie";78893;86663;22481;56413;61;1511;662;640;9;1;1;0;629;57037;629;6;57031;466;261;205;"";56565;39732;16833;93
18;"120600";"krakowski";"małopolskie";196212;216624;40241;155970;102;2614;2325;2240;47;2;3;2;2186;158172;2185;62;158110;1592;955;637;"";156518;91010;65508;196
19;"120700";"limanowski";"małopolskie";90917;99926;20553;70362;69;1511;1131;1120;36;0;6;1;1077;71439;1077;10;71429;587;317;270;"";70842;57003;13839;105
18;"120800";"miechowski";"małopolskie";36375;39697;10451;25928;55;400;325;316;10;2;0;1;303;26230;303;1;26229;211;103;108;"";26018;18443;7575;66
18;"120900";"myślenicki";"małopolskie";89557;97834;19038;70525;51;998;949;920;13;0;6;1;900;71427;900;13;71414;701;385;316;"";70713;49979;20734;84
19;"121000";"nowosądecki";"małopolskie";147120;167516;27668;119448;86;5568;1864;1819;37;3;11;1;1770;121207;1770;8;121199;950;524;426;"";120249;94941;25308;173
19;"121100";"nowotarski";"małopolskie";138173;152156;40515;97658;122;6382;814;800;16;2;1;2;779;98433;779;10;98423;750;385;365;"";97673;70848;26825;154
18;"121200";"olkuski";"małopolskie";81558;87427;20606;60972;77;835;650;633;3;0;0;0;630;61605;630;2;61603;538;328;210;"";61065;35814;25251;86
18;"121300";"oświęcimski";"małopolskie";110638;118755;27932;82706;77;1048;1155;1106;22;3;2;1;1078;83786;1079;5;83781;728;432;296;"";83053;45527;37526;104
18;"121400";"proszowicki";"małopolskie";31841;34638;9467;22373;58;203;176;172;0;0;0;0;172;22544;172;0;22544;147;76;71;"";22397;16602;5795;41
19;"121500";"suski";"małopolskie";60178;67024;15619;44558;28;1443;1038;1009;26;0;6;3;974;45525;974;0;45525;422;238;184;"";45103;31055;14048;61
20;"121600";"tarnowski";"małopolskie";144559;156936;41907;102650;97;1274;1598;1560;20;3;1;0;1536;104184;1536;5;104179;923;487;436;"";103256;77884;25372;151
19;"121700";"tatrzański";"małopolskie";53879;64930;8351;45527;39;10453;538;522;10;1;2;1;508;46033;509;4;46029;316;182;134;"";45713;27931;17782;54
18;"121800";"wadowicki";"małopolskie";114301;124498;28562;85739;65;1437;1073;1024;18;1;8;1;996;86735;996;5;86730;751;424;327;"";85979;53341;32638;106
18;"121900";"wielicki";"małopolskie";88621;98736;17964;70665;34;1019;860;821;11;0;2;4;804;71469;804;5;71464;682;414;268;"";70782;39977;30805;82
18;"126100";"Kraków";"małopolskie";552201;602006;114544;437803;304;11380;7011;6677;65;16;12;14;6580;444181;6581;62;444119;4373;2779;1594;"";439746;169441;270305;447
19;"126200";"Nowy Sącz";"małopolskie";59604;63371;16108;43496;18;714;551;533;5;0;1;7;520;44001;520;2;43999;432;272;160;"";43567;26101;17466;53
20;"126300";"Tarnów";"małopolskie";80849;85706;24876;55971;80;736;784;758;5;0;9;1;743;56714;742;1;56713;491;302;189;"";56222;28861;27361;74
25;"140100";"białobrzeski";"mazowieckie";23655;26684;4273;19372;44;419;142;140;12;0;0;1;127;19499;127;3;19496;177;79;98;"";19319;14544;4775;24
22;"140200";"ciechanowski";"mazowieckie";64946;70029;18215;46731;57;614;392;383;3;0;0;0;380;47110;380;1;47109;387;204;183;"";46722;29766;16956;58
26;"140300";"garwoliński";"mazowieckie";78566;84495;16175;62387;135;1200;427;419;21;0;1;0;397;62785;397;0;62785;619;315;304;"";62166;46680;15486;102
24;"140400";"gostyniński";"mazowieckie";33806;36760;9720;24086;71;549;209;206;2;0;0;0;204;24289;204;0;24289;189;97;92;"";24100;15473;8627;49
21;"140500";"grodziski";"mazowieckie";62149;71872;8206;53949;73;1380;592;577;7;0;4;1;565;54513;565;2;54511;520;297;223;"";53991;24382;29609;51
25;"140600";"grójecki";"mazowieckie";69644;77726;15164;54479;72;1022;462;458;15;1;0;0;442;54918;442;2;54916;447;261;186;"";54469;34668;19801;76
25;"140700";"kozienicki";"mazowieckie";41549;49136;6921;34628;78;828;325;316;7;0;0;1;308;34932;307;0;34932;343;199;144;"";34589;23894;10695;55
21;"140800";"legionowski";"mazowieckie";80783;89422;13127;67649;61;2009;746;721;11;0;1;0;709;68360;709;10;68350;589;323;266;"";67761;29165;38596;63
25;"140900";"lipski";"mazowieckie";25606;28138;7859;17752;33;444;129;125;3;0;0;0;122;17874;122;1;17873;170;82;88;"";17703;12988;4715;42
26;"141000";"łosicki";"mazowieckie";23301;25325;6532;16768;32;511;103;100;2;0;0;0;98;16867;98;0;16867;147;79;68;"";16720;12701;4019;33
23;"141100";"makowski";"mazowieckie";32826;36292;8252;24574;68;797;156;155;1;1;0;0;153;24727;153;0;24727;177;94;83;"";24550;17628;6922;49
26;"141200";"miński";"mazowieckie";108372;118150;22756;85595;45;1723;983;942;35;0;3;0;904;86498;904;4;86494;878;493;385;"";85616;50416;35200;104
22;"141300";"mławski";"mazowieckie";52469;56392;15480;36991;46;616;207;203;9;0;0;1;193;37177;193;0;37177;277;126;151;"";36900;24475;12425;52
21;"141400";"nowodworski";"mazowieckie";56334;61906;13128;43205;67;1016;296;293;2;0;0;0;291;43495;291;5;43490;385;203;182;"";43105;23422;19683;52
23;"141500";"ostrołęcki";"mazowieckie";62536;69547;17389;45147;101;766;253;245;1;0;3;0;241;45386;241;0;45386;370;176;194;"";45016;34307;10709;90
23;"141600";"ostrowski";"mazowieckie";53408;57657;13867;39542;178;896;272;261;5;0;0;0;256;39798;256;1;39797;325;179;146;"";39472;28665;10807;74
21;"141700";"otwocki";"mazowieckie";86266;94501;15680;70588;20;1649;905;877;17;0;0;0;860;71443;860;8;71435;763;432;331;"";70672;38330;32342;86
21;"141800";"piaseczyński";"mazowieckie";122231;137125;17417;104810;83;3180;1403;1344;34;1;10;2;1297;106107;1297;4;106103;958;520;438;"";105145;43509;61636;109
24;"141900";"płocki";"mazowieckie";80531;87621;22952;57579;102;821;429;417;8;0;1;0;408;57983;408;0;57983;522;284;238;"";57461;39086;18375;112
22;"142000";"płoński";"mazowieckie";64660;69867;18999;45661;59;995;333;324;3;0;1;0;320;45977;320;2;45975;371;181;190;"";45604;30222;15382;77
21;"142100";"pruszkowski";"mazowieckie";110303;125343;16207;94096;48;2363;1436;1361;23;3;1;1;1334;95422;1334;8;95414;808;496;312;"";94606;39469;55137;83
22;"142200";"przasnyski";"mazowieckie";37919;40774;11684;26235;55;433;146;143;0;0;0;0;143;26377;143;0;26377;207;116;91;"";26170;18707;7463;61
25;"142300";"przysuski";"mazowieckie";31064;34357;6439;24625;156;695;348;343;14;0;3;0;326;24950;326;1;24949;252;128;124;"";24697;19741;4956;37
23;"142400";"pułtuski";"mazowieckie";37275;41163;9173;28103;57;734;254;249;3;0;0;0;246;28349;246;0;28349;248;112;136;"";28101;18651;9450;51
25;"142500";"radomski";"mazowieckie";107353;118064;25816;81547;112;951;752;732;9;0;2;0;721;82263;721;2;82261;753;388;365;"";81508;60729;20779;114
