offer_id,title,address,Cena,Powierzchnia,Forma_własności,Liczba_pokoi,Stan_wykończenia,Piętro,Balkon_ogród_taras,Czynsz,Miejsce_parkingowe,Obsługa_zdalna,Ogrzewanie,Rynek,Typ_ogłoszeniodawcy,Dostępne_od,Rok_budowy,Rodzaj_zabudowy,Okna,Winda,Media,Zabezpieczenia,Wyposażenie,Informacje_dodatkowe,Materiał_budynku,district
ID4gcYJ,56m2. 2 duże tarasy na Bemowie,"Warszawa, Bemowo, Kazimierza Deyny",735000.0,56.0,pełna własność,2,,1/3,"balkon, taras",850 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,2022-06-01,2006,,plastikowe,tak,"telewizja kablowa, internet","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",meble,piwnica,,BEMOWO
ID471er,Apartament 3 pok z balkonem i ogródkiem ul.Dolna,"Warszawa, Mokotów, Dolna",1170000.0,77.9,pełna własność,3,do zamieszkania,parter/4,"balkon, ogródek",zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2006,apartamentowiec,,tak,brak informacji,teren zamknięty,brak informacji,oddzielna kuchnia,cegła,MOKOTÓW
ID4gauk,Kawalerka inwestycyjna Wola nowe budownictwo,"Warszawa, Wola",330000.0,21.0,pełna własność,1,do zamieszkania,2/9,,300 zł,zapytaj,tak,miejskie,wtórny,biuro nieruchomości,,2017,apartamentowiec,plastikowe,nie,brak informacji,brak informacji,brak informacji,brak informacji,inne,WOLA
ID4gp86,2 mieszkania w jednym - Ursus,"Warszawa, Ursus",440000.0,36.1,spółdzielcze własnościowe,2,do remontu,5/10,,500 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1970,blok,plastikowe,tak,brak informacji,brak informacji,meble,brak informacji,wielka płyta,URSUS
ID4fmdr,MIESZKANIE 120 m2 Z OPEN SPACE/biuro-Gocław-Praga,"Warszawa, Praga-Południe, ul. Poligonowa",1150000.0,120.0,pełna własność,4,do zamieszkania,1/4,balkon,1 000 zł,garaż/miejsce parkingowe,tak,miejskie,wtórny,prywatny,,2004,blok,plastikowe,tak,"internet, telefon","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik",brak informacji,,PRAGA-POŁUDNIE
ID4g2el,do odbioru od developera ok. 20 04 22,"Warszawa, Ursynów, ul. Jana Cybisa",910000.0,53.5,pełna własność,2,do wykończenia,9/9,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,prywatny,,2022,blok,plastikowe,tak,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,oddzielna kuchnia,cegła,URSYNÓW
ID4gmm0,Bemowo Os. Leśne przy Fortach Bema,"Warszawa, Bemowo, Księcia Bolesława",690000.0,50.36,pełna własność,2,do zamieszkania,1/6,balkon,600 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,2022-04-30,2005,blok,,nie,brak informacji,"teren zamknięty, domofon / wideofon, monitoring / ochrona",meble,brak informacji,pustak,BEMOWO
ID4gd3e,Dwupokojowe mieszkanie inwestycyjne,"Warszawa, Ochota, Rakowiec, Bakalarska",635000.0,40.02,pełna własność,2,,3/5,,360 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2018,blok,,tak,brak informacji,monitoring / ochrona,meble,brak informacji,,OCHOTA
ID4d00y,4 pokoje ogromnym tarasem na Białołęce!,"Warszawa, Białołęka, Tajemna 6a",864000.0,93.9,pełna własność,4,do wykończenia,1/3,"balkon, ogródek",zapytaj,garaż/miejsce parkingowe,zapytaj,gazowe,pierwotny,deweloper,,2023,blok,plastikowe,tak,internet,"teren zamknięty, domofon / wideofon",brak informacji,brak informacji,cegła,BIAŁOŁĘKA
ID4geAc,"2 pokoje, Nowe Osiedle, Niska Cena","Warszawa, Rembertów, Strażacka",449000.0,45.0,,2,do wykończenia,5/5,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,biuro nieruchomości,,2023,,plastikowe,tak,"telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona",brak informacji,pom. użytkowe,,REMBERTÓW
ID4giB7,2-pokojowe mieszkanie 41m2 + 2 balkony,"Warszawa, Białołęka",,41.94,pełna własność,2,do wykończenia,1/2,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,BIAŁOŁĘKA
ID48afv,"3 pokoje+jadalnia,funkcjonalne z dobrą komunikacją","Warszawa, Praga-Południe, Grochów, Igańska",645000.0,72.0,spółdzielcze własnościowe,3,,2/10,balkon,zapytaj,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,2021-04-22,1981,blok,,tak,brak informacji,domofon / wideofon,"lodówka, meble, pralka",piwnica,inne,PRAGA-POŁUDNIE
ID4cPQF,"Next Ursus, Adventure 1.C.81","Warszawa, Ursus, ul. Posag 7 Panien",,45.02,,2,do wykończenia,1,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2022,,,tak,"telewizja kablowa, internet",brak informacji,brak informacji,brak informacji,,URSUS
ID4fOSQ,Przestronne 3 Pokojowe Mieszkanie,"Warszawa, Białołęka, Tarchomin",626976.0,65.31,pełna własność,3,,1/8,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,2022-07-25,2022,apartamentowiec,plastikowe,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,brak informacji,cegła,BIAŁOŁĘKA
ID4fYzZ,2-pokojowe mieszkanie 50m2 + loggia,"Warszawa, Mokotów",927000.0,50.08,pełna własność,2,do wykończenia,4/8,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,MOKOTÓW
ID4dvDo,2-pokojowe mieszkanie 44m2 + balkon,"Warszawa, Targówek",,44.11,pełna własność,2,do wykończenia,2/7,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,TARGÓWEK
ID4aZxG,6 pokojowy apartament z prywatną windą.,"Warszawa, Mokotów, Sadyba, Śródziemnomorska",2900000.0,281.3,pełna własność,6,do zamieszkania,5/6,taras,5 321 zł,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,,1992,apartamentowiec,drewniane,tak,"internet, telefon","system alarmowy, monitoring / ochrona",brak informacji,brak informacji,pustak,MOKOTÓW
ID4gaF7,Dwupokojowe Mieszkanie Przy Parku Bródnowskim,"Warszawa, Targówek",435000.0,38.0,spółdzielcze własnościowe,2,do remontu,3/10,balkon,400 zł,zapytaj,zapytaj,,wtórny,biuro nieruchomości,,1972,blok,plastikowe,tak,brak informacji,brak informacji,brak informacji,piwnica,wielka płyta,TARGÓWEK
ID4cD3Y,2-pokojowe mieszkanie 43m2 + balkon Bezpośrednio,"Warszawa, Białołęka",,43.24,pełna własność,2,do wykończenia,2/7,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,BIAŁOŁĘKA
ID4fY3v,"Powrót do Sprzedaży, kup szybko własne M!","Warszawa, Wola, Marcina Kasprzaka",1537968.0,85.92,,4,do zamieszkania,> 10/20,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,biuro nieruchomości,1980-01-01,2022,,plastikowe,tak,"telewizja kablowa, internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,pom. użytkowe,,WOLA
ID4dsTm,Ustawne Mieszkanie Laveli Residence M66,"Warszawa, Wesoła, ul. Fabryczna",665204.0,62.85,,3,do wykończenia,3/4,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,deweloper,,2022,,,tak,"telewizja kablowa, internet",domofon / wideofon,brak informacji,brak informacji,,WESOŁA
ID4dcBY,1-pokojowe mieszkanie 34m2 + balkon Bez Prowizji,"Warszawa, Mokotów",,34.84,pełna własność,1,do wykończenia,6/8,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,MOKOTÓW
ID4g3Rg,"Mieszkanie na sprzedaż, Warszawa, Stary Żoliborz","Warszawa, Żoliborz, Stary Żoliborz",500000.0,35.0,spółdzielcze wł. z KW,2,do remontu,3/4,balkon,500 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1966,blok,plastikowe,nie,brak informacji,domofon / wideofon,brak informacji,piwnica,pustak,ŻOLIBORZ
ID4fdlq,Mieszkanie 2pok.z potencjałem,"Warszawa, Wola, Ożarowska",520000.0,48.0,pełna własność,2,do zamieszkania,3/3,,700 zł,zapytaj,zapytaj,miejskie,wtórny,prywatny,,brak informacji,blok,plastikowe,nie,brak informacji,domofon / wideofon,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",cegła,WOLA
ID4fVaC,3-pokojowe mieszkanie 59m2 + loggia,"Warszawa, Bemowo",,59.88,pełna własność,3,do wykończenia,5/6,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2023,,,nie,brak informacji,brak informacji,brak informacji,brak informacji,,BEMOWO
ID4g76H,Apartament w inwestycji Zielone Tarasy w Wesołej,"Warszawa, Wesoła, Słowicza",1200000.0,118.96,pełna własność,5,do zamieszkania,2/2,"balkon, ogródek",zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,inne,wtórny,biuro nieruchomości,2022-04-10,2021,apartamentowiec,plastikowe,nie,"telewizja kablowa, internet","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",meble,"dwupoziomowe, pom. użytkowe",inne,WESOŁA
ID4ggdW,Nowoczesne mieszkania 3 M - bez Pcc !!!,"Warszawa, Wawer",684000.0,85.5,pełna własność,3,do wykończenia,1/2,,zapytaj,zapytaj,zapytaj,,pierwotny,biuro nieruchomości,,brak informacji,,aluminiowe,nie,brak informacji,brak informacji,brak informacji,brak informacji,,WAWER
ID4gaq8,Dwupoziomowe | Prywatny Dach | Taras,"Warszawa, Mokotów, Czerniaków, Bernardyńska",1499000.0,158.0,pełna własność,3,do remontu,> 10/13,"balkon, taras",1 490 zł,garaż/miejsce parkingowe,Film,miejskie,wtórny,biuro nieruchomości,,1977,blok,,tak,brak informacji,monitoring / ochrona,brak informacji,brak informacji,żelbet,MOKOTÓW
ID4fGs5,"Pilne!! Gagarina,3pok. przy Łazienkach","Warszawa, Mokotów, Sielce, Jurija Gagarina",655000.0,51.0,pełna własność,3,do zamieszkania,1/2,balkon,530 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1938,kamienica,plastikowe,nie,"telewizja kablowa, internet, telefon",brak informacji,meble,piwnica,cegła,MOKOTÓW
ID4fEj7,Penthouse # 205m2 # 4 Sypialnie # Basen,"Warszawa, Wola",3699999.0,205.0,,5,,8/8,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,,2011,,,nie,brak informacji,brak informacji,brak informacji,pom. użytkowe,,WOLA
ID4g5Jg,1-pokojowy lokal inwestycyjny 30m2 Bezpośrednio,"Warszawa, Wesoła",,30.85,pełna własność,1,do wykończenia,4/6,,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,,,,,,,,,,,,,WESOŁA
ID4fKet,Mieszkanie 2-pokojowe 41m2 na Bielanach blisko met,"Warszawa, Bielany, Słodowiec",565000.0,41.0,,2,,1/10,balkon,430 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,1975,blok,plastikowe,tak,brak informacji,brak informacji,brak informacji,piwnica,wielka płyta,BIELANY
ID4fJb9,Cesja Kawalerka Bez Pcc 2% | Smart Home | Powiśle,"Warszawa, Śródmieście, Górnośląska",639000.0,28.0,pełna własność,1,do wykończenia,1/8,,zapytaj,garaż/miejsce parkingowe,zapytaj,,wtórny,biuro nieruchomości,2022-03-08,2022,apartamentowiec,plastikowe,tak,"internet, telefon","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona",brak informacji,brak informacji,inne,ŚRÓDMIEŚCIE
ID4fq9h,Towarowa Tower 35m Kawalerka Świetna Inwestycja,"Warszawa, Wola",,35.2,pełna własność,1,,9/29,balkon,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,pierwotny,biuro nieruchomości,,2024,blok,aluminiowe,tak,"telewizja kablowa, internet, telefon",brak informacji,brak informacji,brak informacji,,WOLA
ID48ta8,Pow.54m2(2pok)Powstańców Śl.(2002r),"Warszawa, Bemowo, Powstańców Śląskich",795000.0,54.0,,2,,2/11,balkon,400 zł,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,2002,apartamentowiec,plastikowe,tak,brak informacji,brak informacji,brak informacji,"piwnica, oddzielna kuchnia",,BEMOWO
ID4fViU,4-pokojowe mieszkanie 91m2 + balkon,"Warszawa, Mokotów",,91.05,pełna własność,4,do wykończenia,1/6,balkon,zapytaj,garaż/miejsce parkingowe,Wirtualny spacer,,pierwotny,deweloper,,2022,,,nie,brak informacji,teren zamknięty,brak informacji,oddzielna kuchnia,,MOKOTÓW
ID4fKU9,"Mieszkanie, 39,77 m², Warszawa","Warszawa, Ursynów",690000.0,39.77,pełna własność,2,,4/16,balkon,389 zł,zapytaj,zapytaj,miejskie,wtórny,biuro nieruchomości,,2003,blok,drewniane,tak,brak informacji,brak informacji,piekarnik,"piwnica, oddzielna kuchnia",,URSYNÓW
ID4bMb0,Mieszkanie na Ken 1 piętro bez Vat 47m2,"Warszawa, Ursynów, al. Komisji Edukacji Narodowej",640000.0,47.0,,3,do zamieszkania,1,,zapytaj,garaż/miejsce parkingowe,zapytaj,miejskie,wtórny,biuro nieruchomości,,brak informacji,apartamentowiec,,tak,brak informacji,monitoring / ochrona,brak informacji,brak informacji,,URSYNÓW
ID4eYQQ,"4 pokoje⭐️ogródek⭐️miejsca postojowe,Wilanów.","Warszawa, Wilanów, Powsinek, Ruczaj",1276000.0,116.0,pełna własność,4,do wykończenia,parter/2,"ogródek, taras",zapytaj,garaż/miejsce parkingowe,zapytaj,,pierwotny,biuro nieruchomości,2021-12-09,2010,,,nie,brak informacji,brak informacji,brak informacji,"piwnica, pom. użytkowe",,WILANÓW
