rooms,price,area,price_m2,city,district
2,468750,37.5,12500.0,WARSZAWA,TARGÓWEK
2,325800,34.65,9403.0,WROCŁAW,
3,517095,59.78,8650.0,WARSZAWA,WŁOCHY
2,429000,44.0,9750.0,GDAŃSK,PRZYMORZE
2,1099000,85.0,12929.0,KRAKÓW,PODGÓRZE
1,340000,45.2,7522.0,WARSZAWA,URSUS
1,224000,37.8,5926.0,ŁÓDŹ,
3,249224,37.83,6588.0,REDA,
4,840580,68.9,12200.0,WROCŁAW,ŚRÓDMIEŚCIE
2,380000,47.0,8085.0,GDAŃSK,ŁOSTOWICE
4,429000,63.1,6799.0,WROCŁAW,FABRYCZNA
5,249000,100.0,2490.0,WROCŁAW,
1,329000,33.0,9970.0,KRAKÓW,BIEŻANÓW-PROKOCIM
4,670875,84.6,7930.0,WARSZAWA,BIAŁOŁĘKA
3,627705,68.0,9231.0,WROCŁAW,
2,455000,51.87,8772.0,KRAKÓW,PRĄDNIK CZERWONY
4,899000,92.0,9772.0,KRAKÓW,DĘBNIKI
2,537608,39.53,13600.0,WROCŁAW,ŚRÓDMIEŚCIE
2,699000,52.0,13442.0,WARSZAWA,ŚRÓDMIEŚCIE
3,560900,51.0,10998.0,WARSZAWA,
3,523230,64.2,8150.0,WROCŁAW,SWOJCZYCE
4,779000,94.38,8254.0,KRAKÓW,
3,535000,55.0,9727.0,WARSZAWA,OCHOTA
2,667000,46.0,14500.0,GDAŃSK,OLIWA
4,1240000,71.5,17343.0,SOPOT,
1,519000,38.0,13658.0,WARSZAWA,WOLA
3,359832,51.04,7050.0,KRAKÓW,
3,435000,47.0,9255.0,WROCŁAW,KRZYKI
3,943690,85.79,11000.0,WARSZAWA,MOKOTÓW SADYBA
2,348000,39.63,8781.0,WARSZAWA,URSUS
2,264704,41.36,6400.0,GLIWICE,
3,586000,55.8,10502.0,GDYNIA,WZGÓRZE ŚW. MAKSYMILIANA
2,249001,49.9,4990.0,ŁÓDŹ,POLESIE
