id,Cena,Powierzchnia,Liczba pokoi,Rynek,Piętro,Rok budowy,Rodzaj zabudowy,Liczba pięter,Materiał budynku,Ogrzewanie,Stan wykończenia,Forma własności,Okna,Czynsz
ID4cQKJ,1654500.0,93.0,4.0,pierwotny,1,2021.0,blok,2.0,cegła,miejskie,,pełna własność,drewniane,
ID4c4kV,1346000.0,79.0,3.0,wtórny,,2006.0,apartamentowiec,,cegła,miejskie,,spółdzielcze wł. z KW,,1 000 zł
ID4d6hY,1100000.0,59.75,3.0,wtórny,parter,1929.0,kamienica,5.0,,,,pełna własność,,670 zł
ID4aVQi,775000.0,45.25,2.0,wtórny,3,2020.0,apartamentowiec,5.0,cegła,miejskie,do zamieszkania,pełna własność,,450 zł
ID4d2Qg,1776000.0,110.82,3.0,wtórny,5,2008.0,,8.0,cegła,,do wykończenia,pełna własność,drewniane,
ID4cDBj,1790000.0,122.68,6.0,wtórny,6,2014.0,apartamentowiec,6.0,cegła,miejskie,do zamieszkania,pełna własność,,700 zł
ID4d8OS,597000.0,48.0,3.0,wtórny,10,1971.0,blok,10.0,wielka płyta,miejskie,do zamieszkania,spółdzielcze własnościowe,plastikowe,630 zł
ID4cr7E,1654045.0,93.64,4.0,pierwotny,1,2021.0,,2.0,,,do wykończenia,pełna własność,drewniane,
ID4d1s5,1900000.0,114.0,5.0,pierwotny,2,2021.0,apartamentowiec,2.0,,miejskie,,pełna własność,drewniane,
ID4cVbl,655000.0,63.0,3.0,wtórny,4,,blok,,,miejskie,,spółdzielcze wł. z KW,drewniane,600 zł
ID4d5fF,729000.0,49.3,2.0,wtórny,4,2013.0,apartamentowiec,4.0,,miejskie,do zamieszkania,pełna własność,,560 zł
ID4cfZA,890000.0,61.2,3.0,wtórny,3,2019.0,blok,7.0,silikat,miejskie,do zamieszkania,pełna własność,drewniane,600 zł
ID4cZmE,695000.0,46.2,3.0,wtórny,6,1968.0,blok,10.0,żelbet,miejskie,do zamieszkania,pełna własność,plastikowe,500 zł
ID4chau,1091000.0,73.0,4.0,wtórny,2,2020.0,apartamentowiec,3.0,,miejskie,do zamieszkania,pełna własność,,
ID4d3Nb,2375000.0,128.0,4.0,wtórny,parter,1993.0,apartamentowiec,3.0,,miejskie,do remontu,pełna własność,,
ID4d7kb,7790000.0,196.0,4.0,wtórny,parter,2005.0,,5.0,,,,,,
ID4cmWF,1500000.0,86.9,3.0,wtórny,3,2004.0,blok,5.0,cegła,miejskie,do zamieszkania,pełna własność,,900 zł
ID4cyt7,999000.0,71.4,3.0,wtórny,8,1999.0,,11.0,,miejskie,,pełna własność,,505 zł
ID4dl8n,520000.0,35.4,2.0,wtórny,parter,,,4.0,,,,,,
ID4aVTN,576000.0,45.0,2.0,wtórny,2,1949.0,blok,3.0,cegła,miejskie,,spółdzielcze wł. z KW,,480 zł
ID4dgN3,480000.0,51.0,2.0,wtórny,3,1992.0,,4.0,,miejskie,,spółdzielcze własnościowe,,
ID4ayep,1535000.0,85.7,3.0,wtórny,1,2006.0,,10.0,,,do zamieszkania,pełna własność,drewniane,800 zł
ID4daCK,548000.0,50.81,2.0,wtórny,2,1955.0,kamienica,3.0,cegła,miejskie,do remontu,pełna własność,,572 zł
ID47enO,3159800.0,157.99,3.0,wtórny,parter,2019.0,,,,,,,,
ID4deZU,1010000.0,69.0,2.0,wtórny,2,2002.0,,18.0,cegła,miejskie,do zamieszkania,pełna własność,plastikowe,700 zł
ID44Irw,1440000.0,71.0,2.0,wtórny,2,2007.0,apartamentowiec,7.0,,,do zamieszkania,,,
ID4bIpK,1008000.0,67.3,3.0,wtórny,3,2016.0,apartamentowiec,7.0,beton komórkowy,miejskie,do zamieszkania,pełna własność,plastikowe,800 zł
ID4d3pE,2150000.0,183.0,5.0,wtórny,parter,2001.0,apartamentowiec,3.0,cegła,gazowe,,pełna własność,drewniane,
ID4dfJm,776240.0,61.91,3.0,pierwotny,1,2022.0,apartamentowiec,3.0,,miejskie,do wykończenia,pełna własność,plastikowe,
ID4db3R,650000.0,46.3,2.0,wtórny,2,,blok,,,,,pełna własność,,
ID4dk1h,400000.0,38.0,2.0,wtórny,7,,blok,10.0,inne,miejskie,do remontu,spółdzielcze własnościowe,plastikowe,400 zł
ID4daQZ,686000.0,65.63,3.0,pierwotny,4,2021.0,blok,4.0,,miejskie,do wykończenia,,plastikowe,
ID4cYAv,429000.0,32.0,2.0,wtórny,parter,1990.0,,4.0,,,do zamieszkania,,plastikowe,
ID48RGR,749000.0,53.0,2.0,wtórny,2,1936.0,kamienica,4.0,cegła,miejskie,do zamieszkania,pełna własność,,
ID4dgwd,3065652.0,186.93,5.0,pierwotny,1,2021.0,apartamentowiec,1.0,,miejskie,,pełna własność,drewniane,
ID4d3Gf,580000.0,44.02,2.0,wtórny,1,1974.0,blok,10.0,wielka płyta,miejskie,do zamieszkania,pełna własność,plastikowe,500 zł
ID4bck6,679000.0,43.29,2.0,wtórny,2,2018.0,apartamentowiec,7.0,inne,miejskie,do zamieszkania,pełna własność,,450 zł
ID4d0ug,710000.0,51.1,3.0,wtórny,2,1974.0,,10.0,wielka płyta,miejskie,do zamieszkania,spółdzielcze wł. z KW,plastikowe,650 zł
ID4da4I,569000.0,50.1,3.0,wtórny,2,1975.0,blok,4.0,beton,miejskie,do zamieszkania,pełna własność,,390 zł
ID4d4pg,500000.0,36.0,2.0,wtórny,parter,,,7.0,,,do zamieszkania,spółdzielcze wł. z KW,plastikowe,400 zł
ID4bscH,2664798.0,160.53,4.0,pierwotny,parter,2022.0,,2.0,,,,,,
ID4cmPM,1999000.0,120.0,4.0,pierwotny,3,2021.0,apartamentowiec,6.0,cegła,miejskie,,pełna własność,drewniane,
ID4dl1j,399000.0,32.0,2.0,wtórny,1,1936.0,kamienica,3.0,cegła,miejskie,do remontu,pełna własność,plastikowe,
ID4da6P,935000.0,40.85,2.0,wtórny,5,2020.0,apartamentowiec,5.0,,,do zamieszkania,,,550 zł
